step,avg_return
0,-108.50788675608383
10000,-110.87765158489947
20000,-110.50649972174152
30000,-109.88242474864713
40000,-68.83349422634241
50000,-69.23056708913516
60000,-95.59010871455799
70000,-69.2356903996236
80000,-75.19802476535486
90000,-108.92509499293938
100000,-101.70780090564489
110000,-99.98905474189151
120000,-100.71146328271202
130000,-101.61786157329236
140000,-102.66416025184198
150000,-102.42870239354568
160000,-89.55526717868197
170000,-109.90184611603432
180000,-112.65398978143268
190000,-111.58966318972409
200000,-113.91610304535327
210000,-119.927920647527
220000,-113.46268991023241
230000,-114.46673176193734
240000,-128.02928986018546
250000,-112.97510534061223
260000,-113.90990654101802
270000,-109.65240991700978
280000,-105.72493264109971
290000,-107.50104332246502
300000,-113.78343992378832
310000,-120.95343684157977
320000,-114.34463141604533
330000,-122.10533558598304
340000,-105.52720152175281
350000,-108.38021084548943
360000,-111.5083080983131
370000,-106.24054679586988
380000,-105.05419946890221
390000,-112.75317221336606
400000,-114.82577262820013
410000,-114.31678971336203
420000,-105.39534864557412
430000,-111.7869048358591
440000,-107.05649372047827
450000,-114.59625659140572
460000,-112.2524257633206
470000,-121.00213915767522
480000,-119.90042414350724
490000,-104.5101894848657
500000,-103.20671704173316
510000,-89.28860093355713
520000,-117.02817294708909
530000,-105.992190112294
540000,-112.99205415557905
550000,-105.84581794446997
560000,-102.91095447326991
570000,-103.10285762074484
580000,-102.62819805917269
590000,-98.00993552218479
600000,-103.88758027434865
610000,-96.2395570382847
620000,-104.89281368148181
630000,-94.80682970475534
640000,-111.66777097277634
650000,-112.33388922860804
660000,-108.06063161471816
670000,-89.26752156004325
680000,-110.52287926811994
690000,-112.19874400891634
700000,-90.33116470467903
710000,-120.69775899110094
720000,-105.27303289223751
730000,-105.47448766559528
740000,-103.28097497111644
750000,-73.69506215288582
760000,-102.65090699956649
770000,-108.20041289069462
780000,-117.10496900822427
790000,-91.91853522446738
800000,-103.33923056571642
810000,-103.19612014494629
820000,-103.48996731505565
830000,-109.14751156218722
840000,-104.61727845172709
850000,-102.39524194689118
860000,-106.8059057901715
870000,-103.6623646599311
880000,-102.30439217892807
890000,-97.02045748840368
900000,-111.454358214261
910000,-107.81936572356977
920000,-112.03998128296827
930000,-107.05555947642381
940000,-102.61665944556934
950000,-105.28627876613785
960000,-104.32642597365047
970000,-105.06149018270564
980000,-104.56709928207783
990000,-95.57648954969973
1000000,-89.17012220045804
1010000,-104.53044459213275
1020000,-106.84574440568535
1030000,-106.37998321268212
1040000,-112.13438984679514
1050000,-91.77702899060054
1060000,-126.41547936838909
1070000,-104.69236846321081
1080000,-106.33408102743164
1090000,-107.44207736075877
1100000,-87.11018348620871
1110000,-103.51373032842639
1120000,-108.97931514313215
1130000,-105.4828234903088
1140000,-90.5707524908193
1150000,-95.28131922269733
1160000,-116.36462480853167
1170000,-104.05348029686076
1180000,-104.67007061717887
1190000,-103.34955825538395
1200000,-105.99922380984204
1210000,-131.89718374080437
1220000,-84.15844054292798
1230000,-85.80880937841623
1240000,-103.77212421118882
1250000,-74.38609635439055
1260000,-86.4919690693917
1270000,-105.84571267219115
1280000,-93.11053266617819
1290000,-85.64266615962067
1300000,-104.07062406513198
1310000,-89.06492812143229
1320000,-91.51962784941759
1330000,-115.95212946442784
1340000,-123.3192530011891
1350000,-85.8413552683931
1360000,-105.60162463712817
1370000,-106.21424527167984
1380000,-105.48466778344743
1390000,-83.9441179341283
1400000,-86.53685159179797
1410000,-98.98356780831753
1420000,-108.8224600953909
1430000,-78.068193577889
1440000,-94.19825279450043
1450000,-106.36107556969982
1460000,-105.87180308657865
1470000,-105.36676909229261
1480000,-104.21243009756859
1490000,-83.74679067885609
1500000,-128.13250953786198
1510000,-115.80672233321188
1520000,-105.75476981160482
1530000,-95.12149040956106
1540000,-116.8782673528565
1550000,-105.59889149863335
1560000,-104.53514560630214
1570000,-103.75205976040206
1580000,-105.24928311654304
1590000,-103.25799972236196
1600000,-104.63757301077413
1610000,-104.32348253447792
1620000,-111.49480952967393
1630000,-104.80965175210126
1640000,-83.07155827544568
1650000,-108.87382901590546
1660000,-103.68279246844226
1670000,-110.7341543376901
1680000,-110.26927756419427
1690000,-123.41902930463641
1700000,-105.18212294828892
1710000,-89.07729160091964
1720000,-136.27467470667122
1730000,-119.61974271325103
1740000,-90.40986046434546
1750000,-119.66892551352935
1760000,-103.78413756623512
1770000,-104.67016828638191
1780000,-98.74342934019472
1790000,-109.36387962092708
1800000,-93.92083704320545
1810000,-62.66655328123168
1820000,-114.55978414641011
1830000,-106.92799727737862
1840000,-107.78807703064301
1850000,-103.93948137288851
1860000,-103.86024985059164
1870000,-76.74996164570193
1880000,-114.58603500187003
1890000,-102.75804363177967
1900000,-106.77937449279239
1910000,-105.6043120871834
1920000,-102.41766778982203
1930000,-105.22890393513792
1940000,-105.62460807129885
1950000,-103.55981306017004
1960000,-108.99724327242706
1970000,-104.25074077774813
1980000,-104.65170623164374
1990000,-102.74881340967802
2000000,-102.05058436942949
