step,avg_return
0,-93.05555555555453
5000,-93.3333333333323
10000,-92.50936329587915
15000,-92.75362318840479
20000,-92.98245614034987
25000,-93.8837920489286
30000,-26.82926829268374
35000,-93.22033898304981
40000,-38.41642228739081
45000,-92.72727272727172
50000,-24.460431654677034
55000,-93.39933993399237
60000,-32.9073482428123
65000,-37.69470404984489
70000,-92.619926199261
75000,-92.39543726235644
80000,-78.18181818181809
85000,-93.65079365079261
90000,-93.24324324324222
95000,-87.42138364779804
100000,-92.88256227757907
105000,-93.0313588850164
110000,-93.93939393939287
115000,-14.965986394558186
120000,-23.636363636364468
125000,-93.15068493150582
130000,13.138686131388129
135000,-92.30769230769133
140000,-66.01355932203438
145000,-26.57342657342738
150000,-92.88256227757907
155000,-66.96690391459127
160000,41.22137404580485
165000,-67.03448275862112
170000,14.65014245014305
175000,157.62711864407225
180000,-25.6505576208186
185000,-48.126801152738445
190000,409.3632958801435
195000,200.00000000000412
200000,-28.08219178082268
