step,avg_return
0,-6.825874125873241
100000,-2.8776978417275085
200000,436.58536585365135
300000,452.23880597014465
400000,880.1324503311159
500000,839.7993311036596
600000,771.4733542319574
700000,526.2295081967094
800000,916.5999999999855
900000,801.4925373134178
1000000,873.880597014908
1100000,567.7740863787228
1200000,855.4140127388333
1300000,637.5886524822596
1400000,901.8999999999837
1500000,860.2888086642512
1600000,799.9999999999886
1700000,857.1865443424884
1800000,812.8919860627033
1900000,846.6666666666554
2000000,875.6944444444244
