step,avg_return
0,-696.4100569787884
10000,-100.9201204527
20000,-185.22611126933694
30000,-160.01916671008738
40000,-140.36592420846503
50000,-139.1082015722778
60000,-84.86628007051188
70000,-77.51023614657304
80000,-62.15203682629658
90000,-93.54983606148517
100000,-114.58475536494029
110000,-72.69814418689273
120000,-99.43702741912807
130000,-107.88146893822245
140000,-89.78574688287411
150000,-89.71958847425911
160000,-73.86669021071731
170000,-55.10510213397284
180000,-17.052219960256654
190000,-27.55918162288256
200000,-17.21213002194379
210000,-21.627038619630657
220000,66.45474916596051
230000,-26.493241911541727
240000,-259.4037509278993
250000,67.62459532424462
260000,-93.53224813675689
270000,115.97819965015715
280000,245.61099296555653
290000,42.75406057495051
300000,174.24284188185422
