step,avg_return
0,-401.1237287569504
10000,-544.4104368996478
20000,-73.66238809682274
30000,-40.76645446415397
40000,-146.27862392587636
50000,-101.63605749432509
60000,-239.15399368754296
70000,-109.27320341160389
80000,-94.4915119744299
90000,-18.62303373652738
100000,-36.99343253672746
110000,-27.803557289664173
120000,-72.74339329032779
130000,-69.91705200086422
140000,-10.855109719187332
150000,-53.07376594621127
160000,-63.17246487412399
170000,-40.938569867112626
180000,-135.5103865091983
190000,-19.51843790482457
200000,3.4737392861903458
210000,-31.959071633123788
220000,-36.324065106282994
230000,8.430910408565472
240000,0.3727522862625676
250000,-39.722480533584054
260000,22.576579218941845
270000,-9.661195235224803
280000,-6.039283626562084
290000,94.33005156617014
300000,19.128448833916224
