step,avg_return
0,-637.4569093378117
10000,-87.89584918401336
20000,-156.97974263141452
30000,-72.87171647776654
40000,10.500699273161269
50000,-51.4399199810843
60000,0.742569132877183
70000,-37.85253736995299
80000,-188.11081339924863
90000,-67.9778369296901
100000,-49.5722519332059
110000,-68.00833602309338
120000,-48.9767529237673
130000,-51.062439368647524
140000,-57.77698839445144
150000,-34.57066966099702
160000,-44.79214673980338
170000,-125.31143038528559
180000,-138.56217311671676
190000,-47.669699273340285
200000,-54.2543473688049
210000,-57.6173952353102
220000,-292.2980568057177
230000,-30.63104444793612
240000,-52.46661121673716
250000,-42.362638949370314
260000,-41.12129685777665
270000,-28.801398295231262
280000,-200.71881678241436
290000,-148.17689269586657
300000,-344.33643468467426
