step,avg_return
0,-447.639475757213
10000,-387.75302416702453
20000,-442.841911393017
30000,-138.8212981839832
40000,-317.8789929670715
50000,-439.40870414322666
60000,-290.29887013275254
70000,-154.9423717392585
80000,-346.4516916339096
90000,-190.97225015432136
100000,-204.84049007166843
110000,-546.8698667349148
120000,-499.8191108946168
130000,-312.7415536656867
140000,-264.90572404922705
150000,-483.7180916106424
160000,-372.2079055685554
170000,-732.6463728275418
180000,-355.88934377541847
190000,-365.9993737869076
200000,-566.6202350034599
210000,-700.0347487643876
220000,-616.7094489385712
230000,-925.0588810788149
240000,-372.49097874777766
250000,-454.6603560119432
260000,-410.43333567821924
270000,-960.7641800400139
280000,-250.2789579431798
290000,-160.17669185974427
300000,-286.73515219866346
