step,avg_return
0,-300.35786369551437
10000,-141.5838163966914
20000,-121.17125749610625
30000,-386.2063837354414
40000,-528.1059486729187
50000,-222.3883119945583
60000,-474.8178482155727
70000,-417.3243933154704
80000,-109.1608522070833
90000,-415.51518727447547
100000,-603.2377747585866
110000,-460.51933000833486
120000,-581.9749594756998
130000,-686.2811953914294
140000,-852.560803945089
150000,-556.0195886105199
160000,-796.0096681413389
170000,-692.9965961384265
180000,-630.294351354706
190000,-366.4518921887775
200000,-311.32149142716617
210000,-403.1756271447255
220000,-444.1737750096393
230000,-412.4907411600123
240000,-832.4501942643228
250000,-499.40939147210173
260000,-645.394043605543
270000,-534.2177757422246
280000,-650.3535083010216
290000,-708.598964043522
300000,-563.3761013572295
