step,avg_return
0,-138.45664257136102
10000,-262.8579291776485
20000,-227.92347789096758
30000,-191.86879672197634
40000,-49.05817975511832
50000,-24.375803556515383
60000,-183.5593646359341
70000,-51.14012435849981
80000,-156.9704706562646
90000,-154.5834282388937
100000,181.02954981655535
110000,-140.47917213970712
120000,-182.54217224477983
130000,-122.74984801090174
140000,203.89864241146643
150000,-69.73451184502525
160000,-36.985336904540674
170000,-238.68856187125544
180000,-45.04569480320212
190000,-52.4156206230653
200000,-311.4598753082411
210000,-120.81170871055967
220000,-93.4509289507045
230000,-107.96980006667043
240000,-150.28352540857594
250000,-15.572248270214947
260000,-51.59787537805235
270000,-20.9540102440624
280000,-113.56404199320734
290000,-35.956628871771606
300000,-59.36626174649328
