step,avg_return
0,-500.0
2000,-500.0
4000,-491.0
6000,-500.0
8000,-500.0
10000,-500.0
12000,-500.0
14000,-500.0
16000,-500.0
18000,-500.0
20000,-500.0
22000,-500.0
24000,-500.0
26000,-500.0
28000,-500.0
30000,-500.0
32000,-500.0
34000,-500.0
36000,-500.0
38000,-500.0
40000,-500.0
42000,-500.0
44000,-500.0
46000,-500.0
48000,-500.0
50000,-500.0
52000,-500.0
54000,-500.0
56000,-500.0
58000,-500.0
60000,-500.0
62000,-500.0
64000,-500.0
66000,-500.0
68000,-500.0
70000,-500.0
72000,-500.0
74000,-500.0
76000,-500.0
78000,-500.0
80000,-500.0
82000,-500.0
84000,-500.0
86000,-500.0
88000,-500.0
90000,-500.0
92000,-500.0
94000,-500.0
96000,-500.0
98000,-500.0
100000,-500.0
102000,-500.0
104000,-500.0
106000,-500.0
108000,-500.0
110000,-500.0
112000,-500.0
114000,-500.0
116000,-500.0
118000,-500.0
120000,-500.0
122000,-500.0
124000,-500.0
126000,-500.0
128000,-500.0
130000,-500.0
132000,-500.0
134000,-500.0
136000,-500.0
138000,-500.0
140000,-500.0
142000,-500.0
144000,-487.6666666666667
146000,-500.0
148000,-500.0
150000,-500.0
152000,-500.0
154000,-500.0
156000,-500.0
158000,-500.0
160000,-500.0
162000,-459.0
164000,-448.3333333333333
166000,-440.3333333333333
168000,-358.6666666666667
170000,-297.0
172000,-266.6666666666667
174000,-255.66666666666666
176000,-247.66666666666666
178000,-363.0
180000,-324.3333333333333
182000,-283.3333333333333
184000,-251.33333333333334
186000,-247.33333333333334
188000,-262.3333333333333
190000,-266.0
192000,-337.0
194000,-282.6666666666667
196000,-228.66666666666666
198000,-304.6666666666667
200000,-234.66666666666666
