step,avg_return
0,-500.0
2000,-500.0
4000,-500.0
6000,-500.0
8000,-500.0
10000,-500.0
12000,-321.6666666666667
14000,-500.0
16000,-500.0
18000,-500.0
20000,-500.0
22000,-500.0
24000,-500.0
26000,-500.0
28000,-500.0
30000,-500.0
32000,-303.5
34000,-500.0
36000,-500.0
38000,-500.0
40000,-500.0
42000,-448.0
44000,-128.33333333333334
46000,-115.0
48000,-103.0
50000,-500.0
52000,-500.0
54000,-500.0
56000,-108.0
58000,-79.66666666666667
60000,-500.0
62000,-91.66666666666667
64000,-102.33333333333333
66000,-83.0
68000,-229.33333333333334
70000,-500.0
72000,-500.0
74000,-114.66666666666667
76000,-85.66666666666667
78000,-86.0
80000,-108.66666666666667
82000,-79.0
84000,-104.66666666666667
86000,-82.0
88000,-82.66666666666667
90000,-96.66666666666667
92000,-119.33333333333333
94000,-73.66666666666667
96000,-86.33333333333333
98000,-85.33333333333333
100000,-80.66666666666667
102000,-103.0
104000,-238.0
106000,-96.66666666666667
108000,-87.66666666666667
110000,-82.66666666666667
112000,-100.0
114000,-71.66666666666667
116000,-79.66666666666667
118000,-86.33333333333333
120000,-83.66666666666667
122000,-69.33333333333333
124000,-95.0
126000,-78.66666666666667
128000,-96.0
130000,-102.0
132000,-84.33333333333333
134000,-80.0
136000,-84.66666666666667
138000,-85.66666666666667
140000,-90.33333333333333
142000,-72.66666666666667
144000,-76.0
146000,-100.66666666666667
148000,-85.0
150000,-87.0
152000,-77.33333333333333
154000,-90.33333333333333
156000,-79.0
158000,-113.33333333333333
160000,-71.0
162000,-74.66666666666667
164000,-86.0
166000,-85.0
168000,-77.0
170000,-87.0
172000,-70.0
174000,-75.33333333333333
176000,-100.0
178000,-76.0
180000,-82.66666666666667
182000,-79.66666666666667
184000,-80.0
186000,-81.33333333333333
188000,-71.66666666666667
190000,-65.33333333333333
192000,-65.33333333333333
194000,-92.33333333333333
196000,-75.66666666666667
198000,-71.33333333333333
200000,-74.33333333333333
