step,avg_return
0,-500.0
2000,-500.0
4000,-500.0
6000,-500.0
8000,-500.0
10000,-395.6666666666667
12000,-500.0
14000,-259.0
16000,-161.66666666666666
18000,-150.0
20000,-282.6666666666667
22000,-105.66666666666667
24000,-106.0
26000,-97.33333333333333
28000,-120.66666666666667
30000,-95.66666666666667
32000,-87.0
34000,-95.33333333333333
36000,-500.0
38000,-88.66666666666667
40000,-370.6666666666667
42000,-80.66666666666667
44000,-98.0
46000,-86.66666666666667
48000,-287.0
50000,-94.66666666666667
52000,-109.66666666666667
54000,-81.66666666666667
56000,-500.0
58000,-83.33333333333333
60000,-93.66666666666667
62000,-102.0
64000,-86.0
66000,-80.66666666666667
68000,-82.33333333333333
70000,-92.33333333333333
72000,-373.3333333333333
74000,-79.66666666666667
76000,-87.33333333333333
78000,-90.33333333333333
80000,-88.66666666666667
82000,-86.0
84000,-84.0
86000,-101.0
88000,-81.0
90000,-69.33333333333333
92000,-78.0
94000,-79.0
96000,-76.33333333333333
98000,-80.0
100000,-500.0
102000,-84.0
104000,-91.33333333333333
106000,-81.0
108000,-78.66666666666667
110000,-91.66666666666667
112000,-77.0
114000,-81.33333333333333
116000,-88.66666666666667
118000,-99.66666666666667
120000,-89.66666666666667
122000,-72.33333333333333
124000,-70.66666666666667
126000,-85.0
128000,-80.33333333333333
130000,-82.66666666666667
132000,-98.66666666666667
134000,-87.66666666666667
136000,-83.33333333333333
138000,-80.66666666666667
140000,-82.33333333333333
142000,-74.0
144000,-85.66666666666667
146000,-74.33333333333333
148000,-77.33333333333333
150000,-93.0
152000,-77.0
154000,-74.33333333333333
156000,-500.0
158000,-72.66666666666667
160000,-82.33333333333333
162000,-77.33333333333333
164000,-80.0
166000,-93.0
168000,-106.66666666666667
170000,-83.0
172000,-80.33333333333333
174000,-93.0
176000,-86.66666666666667
178000,-76.33333333333333
180000,-79.33333333333333
182000,-83.66666666666667
184000,-98.0
186000,-500.0
188000,-89.0
190000,-105.33333333333333
192000,-80.66666666666667
194000,-79.33333333333333
196000,-115.66666666666667
198000,-85.33333333333333
200000,-70.0
