step,avg_return
0,-500.0
2000,-500.0
4000,-500.0
6000,-500.0
8000,-290.6666666666667
10000,-500.0
12000,-228.0
14000,-500.0
16000,-500.0
18000,-500.0
20000,-500.0
22000,-500.0
24000,-97.0
26000,-103.0
28000,-500.0
30000,-67.66666666666667
32000,-362.6666666666667
34000,-74.33333333333333
36000,-77.33333333333333
38000,-64.33333333333333
40000,-90.0
42000,-80.66666666666667
44000,-91.0
46000,-90.33333333333333
48000,-83.33333333333333
50000,-87.66666666666667
52000,-90.33333333333333
54000,-77.66666666666667
56000,-87.0
58000,-84.33333333333333
60000,-107.33333333333333
62000,-92.33333333333333
64000,-89.66666666666667
66000,-93.0
68000,-90.0
70000,-89.0
72000,-95.0
74000,-90.66666666666667
76000,-78.33333333333333
78000,-85.33333333333333
80000,-108.33333333333333
82000,-81.33333333333333
84000,-86.33333333333333
86000,-83.0
88000,-100.33333333333333
90000,-82.33333333333333
92000,-85.0
94000,-111.66666666666667
96000,-87.0
98000,-76.33333333333333
100000,-76.66666666666667
102000,-79.0
104000,-105.66666666666667
106000,-82.66666666666667
108000,-84.66666666666667
110000,-84.0
112000,-79.66666666666667
114000,-71.33333333333333
116000,-98.0
118000,-79.0
120000,-80.66666666666667
122000,-83.33333333333333
124000,-83.33333333333333
126000,-85.33333333333333
128000,-72.66666666666667
130000,-77.33333333333333
132000,-83.0
134000,-84.33333333333333
136000,-80.66666666666667
138000,-78.66666666666667
140000,-72.33333333333333
142000,-82.0
144000,-93.33333333333333
146000,-81.0
148000,-92.0
150000,-76.66666666666667
152000,-81.0
154000,-86.33333333333333
156000,-79.0
158000,-101.0
160000,-95.66666666666667
162000,-68.66666666666667
164000,-71.66666666666667
166000,-95.0
168000,-81.33333333333333
170000,-98.66666666666667
172000,-79.0
174000,-76.66666666666667
176000,-76.66666666666667
178000,-85.66666666666667
180000,-83.0
182000,-100.0
184000,-74.66666666666667
186000,-76.66666666666667
188000,-81.33333333333333
190000,-86.33333333333333
192000,-71.33333333333333
194000,-94.0
196000,-72.33333333333333
198000,-79.33333333333333
200000,-73.0
