step,avg_return
0,-408.6666666666667
2000,-500.0
4000,-205.66666666666666
6000,-500.0
8000,-396.0
10000,-500.0
12000,-233.33333333333334
14000,-241.33333333333334
16000,-480.6666666666667
18000,-374.3333333333333
20000,-207.0
22000,-466.3333333333333
24000,-339.0
26000,-365.3333333333333
28000,-500.0
30000,-500.0
32000,-175.66666666666666
34000,-209.66666666666666
36000,-397.6666666666667
38000,-500.0
40000,-251.33333333333334
42000,-500.0
44000,-455.3333333333333
46000,-227.33333333333334
48000,-409.6666666666667
50000,-191.66666666666666
52000,-125.66666666666667
54000,-466.6666666666667
56000,-500.0
58000,-390.3333333333333
60000,-500.0
62000,-492.3333333333333
64000,-500.0
66000,-279.3333333333333
68000,-334.0
70000,-500.0
72000,-500.0
74000,-500.0
76000,-500.0
78000,-355.3333333333333
80000,-192.66666666666666
82000,-406.0
84000,-500.0
86000,-500.0
88000,-500.0
90000,-218.0
92000,-429.3333333333333
94000,-411.3333333333333
96000,-500.0
98000,-500.0
100000,-500.0
102000,-453.0
104000,-500.0
106000,-438.6666666666667
108000,-500.0
110000,-500.0
112000,-315.0
114000,-500.0
116000,-500.0
118000,-500.0
120000,-500.0
122000,-500.0
124000,-500.0
126000,-362.6666666666667
128000,-500.0
130000,-328.3333333333333
132000,-500.0
134000,-500.0
136000,-500.0
138000,-500.0
140000,-494.3333333333333
142000,-500.0
144000,-500.0
146000,-500.0
148000,-500.0
150000,-500.0
152000,-500.0
154000,-500.0
156000,-481.0
158000,-500.0
160000,-197.33333333333334
162000,-472.0
164000,-500.0
166000,-500.0
168000,-500.0
170000,-414.6666666666667
172000,-500.0
174000,-457.0
176000,-500.0
178000,-500.0
180000,-338.0
182000,-500.0
184000,-399.3333333333333
186000,-316.6666666666667
188000,-446.0
190000,-500.0
192000,-500.0
194000,-184.66666666666666
196000,-286.6666666666667
198000,-468.6666666666667
200000,-447.6666666666667
