step,avg_return
0,-500.0
2000,-500.0
4000,-500.0
6000,-498.3333333333333
8000,-440.3333333333333
10000,-403.3333333333333
12000,-500.0
14000,-500.0
16000,-500.0
18000,-500.0
20000,-500.0
22000,-500.0
24000,-500.0
26000,-500.0
28000,-163.66666666666666
30000,-500.0
32000,-500.0
34000,-500.0
36000,-500.0
38000,-88.66666666666667
40000,-500.0
42000,-164.66666666666666
44000,-364.6666666666667
46000,-256.0
48000,-96.33333333333333
50000,-500.0
52000,-500.0
54000,-500.0
56000,-500.0
58000,-425.0
60000,-500.0
62000,-500.0
64000,-500.0
66000,-500.0
68000,-500.0
70000,-500.0
72000,-500.0
74000,-500.0
76000,-500.0
78000,-500.0
80000,-385.6666666666667
82000,-500.0
84000,-500.0
86000,-500.0
88000,-500.0
90000,-500.0
92000,-200.0
94000,-138.66666666666666
96000,-500.0
98000,-500.0
100000,-98.0
102000,-500.0
104000,-85.66666666666667
106000,-126.0
108000,-500.0
110000,-500.0
112000,-500.0
114000,-500.0
116000,-500.0
118000,-90.66666666666667
120000,-83.33333333333333
122000,-500.0
124000,-500.0
126000,-500.0
128000,-500.0
130000,-103.66666666666667
132000,-500.0
134000,-500.0
136000,-500.0
138000,-500.0
140000,-102.33333333333333
142000,-160.66666666666666
144000,-500.0
146000,-120.66666666666667
148000,-500.0
150000,-500.0
152000,-500.0
154000,-500.0
156000,-500.0
158000,-95.0
160000,-500.0
162000,-500.0
164000,-500.0
166000,-500.0
168000,-500.0
170000,-83.33333333333333
172000,-87.33333333333333
174000,-95.0
176000,-500.0
178000,-500.0
180000,-98.0
182000,-73.33333333333333
184000,-500.0
186000,-94.33333333333333
188000,-98.33333333333333
190000,-500.0
192000,-91.0
194000,-500.0
196000,-67.0
198000,-500.0
200000,-500.0
