step,avg_return
0,9.666666666666666
2000,9.333333333333334
4000,44.0
6000,157.66666666666666
8000,118.66666666666667
10000,208.66666666666666
12000,187.0
14000,215.33333333333334
16000,242.66666666666666
18000,182.66666666666666
20000,170.66666666666666
22000,166.66666666666666
24000,182.66666666666666
26000,167.33333333333334
28000,159.33333333333334
30000,152.33333333333334
32000,197.33333333333334
34000,150.66666666666666
36000,173.66666666666666
38000,148.66666666666666
40000,140.66666666666666
42000,148.66666666666666
44000,147.0
46000,141.66666666666666
48000,188.66666666666666
50000,197.66666666666666
52000,137.66666666666666
54000,158.0
56000,206.66666666666666
58000,149.66666666666666
60000,136.0
62000,218.33333333333334
64000,239.0
66000,226.66666666666666
68000,259.6666666666667
70000,158.66666666666666
72000,179.66666666666666
74000,169.66666666666666
76000,161.33333333333334
78000,258.6666666666667
80000,187.0
82000,193.66666666666666
84000,203.66666666666666
86000,309.0
88000,188.66666666666666
90000,408.6666666666667
92000,183.66666666666666
94000,500.0
96000,222.0
98000,500.0
100000,500.0
102000,500.0
104000,500.0
106000,500.0
108000,500.0
110000,163.66666666666666
112000,159.0
114000,152.0
116000,187.66666666666666
118000,500.0
120000,500.0
122000,500.0
124000,500.0
126000,500.0
128000,158.0
130000,178.0
132000,207.66666666666666
134000,450.0
136000,500.0
138000,500.0
140000,500.0
142000,500.0
144000,500.0
146000,500.0
148000,500.0
150000,500.0
152000,500.0
154000,500.0
156000,500.0
158000,500.0
160000,500.0
162000,500.0
164000,500.0
166000,500.0
168000,500.0
170000,500.0
172000,500.0
174000,500.0
176000,500.0
178000,500.0
180000,500.0
182000,500.0
184000,500.0
186000,500.0
188000,500.0
190000,500.0
192000,500.0
194000,500.0
196000,500.0
198000,500.0
200000,442.6666666666667
