step,avg_return
0,-200.0
2000,-200.0
4000,-200.0
6000,-200.0
8000,-200.0
10000,-200.0
12000,-200.0
14000,-200.0
16000,-200.0
18000,-200.0
20000,-200.0
22000,-200.0
24000,-200.0
26000,-200.0
28000,-200.0
30000,-200.0
32000,-200.0
34000,-200.0
36000,-200.0
38000,-200.0
40000,-200.0
42000,-200.0
44000,-200.0
46000,-200.0
48000,-200.0
50000,-200.0
52000,-200.0
54000,-200.0
56000,-200.0
58000,-200.0
60000,-200.0
62000,-200.0
64000,-200.0
66000,-200.0
68000,-200.0
70000,-200.0
72000,-200.0
74000,-200.0
76000,-200.0
78000,-200.0
80000,-200.0
82000,-200.0
84000,-200.0
86000,-200.0
88000,-200.0
90000,-200.0
92000,-200.0
94000,-200.0
96000,-200.0
98000,-200.0
100000,-200.0
102000,-200.0
104000,-200.0
106000,-200.0
108000,-200.0
110000,-200.0
112000,-200.0
114000,-200.0
116000,-200.0
118000,-200.0
120000,-200.0
122000,-200.0
124000,-200.0
126000,-200.0
128000,-200.0
130000,-200.0
132000,-200.0
134000,-200.0
136000,-192.33333333333334
138000,-151.0
140000,-200.0
142000,-200.0
144000,-93.0
146000,-174.33333333333334
148000,-200.0
150000,-115.33333333333333
152000,-111.66666666666667
154000,-123.0
156000,-112.66666666666667
158000,-181.66666666666666
160000,-157.0
162000,-140.0
164000,-160.0
166000,-154.33333333333334
168000,-183.33333333333334
170000,-200.0
172000,-172.66666666666666
174000,-185.33333333333334
176000,-175.66666666666666
178000,-164.0
180000,-192.0
182000,-179.0
184000,-169.66666666666666
186000,-178.33333333333334
188000,-161.0
190000,-159.33333333333334
192000,-92.66666666666667
194000,-115.66666666666667
196000,-110.0
198000,-111.66666666666667
200000,-131.66666666666666
