step,avg_return
0,-1102.1281511693794
2000,-1134.4352617203335
4000,-1142.8433630774987
6000,-1327.0923916148442
8000,-1314.625959100903
10000,-1083.7420024372125
12000,-1379.971852917448
14000,-1345.7222030784615
16000,-1073.0904276580284
18000,-1617.451143268203
20000,-1359.4713010833648
22000,-1346.3634880554416
24000,-1474.7289840048088
26000,-1288.2617177138593
28000,-1176.3050070965803
30000,-1404.7176099999324
32000,-1285.4063174306048
34000,-1464.320725861762
36000,-1271.9490005053287
38000,-1007.778672515934
40000,-1299.5220085683375
42000,-1101.0550795670786
44000,-1430.6170709601308
46000,-1304.8908664294015
48000,-1154.982974378627
50000,-996.1736354059459
52000,-1193.3745638025719
54000,-1037.6189312248387
56000,-1008.7662367349761
58000,-1233.6513882680642
60000,-1480.369605136954
62000,-1245.2311516661505
64000,-1176.8199069131017
66000,-1089.697091968664
68000,-1404.2481022253141
70000,-1400.2535878620486
72000,-1131.106042324832
74000,-1155.4728176669537
76000,-1268.8217797580194
78000,-1225.9119843213987
80000,-1157.9076476631424
82000,-1209.3324059460617
84000,-1185.3938931301602
86000,-1424.8352798324522
88000,-965.206197404627
90000,-1392.719959535743
92000,-1385.008645449695
94000,-1076.4512516390203
96000,-1104.9207992403703
98000,-1429.548928280053
100000,-1108.628336629939
102000,-1058.533639797233
104000,-1491.736382734833
106000,-1242.0449007716968
108000,-1159.4036372738826
110000,-869.0852305094583
112000,-970.3013929087557
114000,-1246.7615921650474
116000,-1074.0700255596937
118000,-1056.4132794103082
120000,-906.4602054304614
122000,-1320.8639666016647
124000,-1157.2756927897615
126000,-1222.27515767564
128000,-1466.708928930829
130000,-1303.5698531600856
132000,-880.5780262530326
134000,-962.0873431924083
136000,-941.2900170409463
138000,-1084.5227225180918
140000,-831.2166233274797
142000,-1253.4433102585044
144000,-1411.9319354567526
146000,-1079.446523352398
148000,-1206.7963499387827
150000,-1158.6055015654092
152000,-815.5774988982171
154000,-1450.1876261165773
156000,-1168.1996458106607
158000,-1083.5233320586742
160000,-1089.8008079010635
162000,-1125.8777968147767
164000,-1090.243234171315
166000,-1336.9130008658326
168000,-1210.4662303871148
170000,-1198.0431191672785
172000,-997.5799890799846
174000,-1563.2122891077222
176000,-1043.8710698422797
178000,-1186.209640244372
180000,-859.974953663901
182000,-1238.5144066500588
184000,-1297.1507832409347
186000,-1281.9901930514764
188000,-895.0459070682313
190000,-951.4283569736845
192000,-971.3345046236167
194000,-1219.81965452791
196000,-1038.8766223455605
198000,-1017.5777933188714
200000,-1165.231280671346
