step,avg_return
0,-1197.7848259993168
2000,-1250.856487766045
4000,-1127.5334779926823
6000,-1419.2748176530029
8000,-1332.1991234180703
10000,-1465.5771656033678
12000,-1622.1191387309407
14000,-1498.5749129638298
16000,-1312.680632323519
18000,-1452.4180225070402
20000,-968.3243590510592
22000,-1126.2296407489057
24000,-1004.4200229218636
26000,-1037.941600839285
28000,-940.1314195526361
30000,-872.0723537145982
32000,-704.4250681732474
34000,-1007.8458309942771
36000,-682.408098171633
38000,-331.9087913600137
40000,-889.4114658606186
42000,-805.1590708604325
44000,-699.707423510837
46000,-671.6703578273718
48000,-372.9830597763816
50000,-289.16246897179343
52000,-288.8970154419306
54000,-204.18697704781337
56000,-127.00915168315174
58000,-363.29918802483985
60000,-536.8259708200404
62000,-310.4508993959991
64000,-283.4474085951893
66000,-333.21881818238626
68000,-285.3864721725742
70000,-286.95000150157335
72000,-297.3843478461091
74000,-209.4804170430031
76000,-123.60193423851446
78000,-319.2187816451213
80000,-282.318587525836
82000,-369.74260524334136
84000,-165.5919194756942
86000,-327.514789531605
88000,-203.96096036147614
90000,-366.436931365842
92000,-365.349626019826
94000,-248.30594958093334
96000,-283.4523300540803
98000,-356.41847639425424
100000,-284.29798628258936
102000,-243.79017483722433
104000,-279.5799826816603
106000,-288.4200218685235
108000,-280.89967868237255
110000,-289.92532625338913
112000,-81.89537700720437
114000,-245.40844646252387
116000,-242.477277342674
118000,-121.23042311170265
120000,-125.46878864533498
122000,-240.90385897024336
124000,-233.25392004306934
126000,-162.5845209398814
128000,-450.6572255453559
130000,-482.45282224082695
132000,-125.73156442033307
134000,-124.93658216595783
136000,-277.0500723853383
138000,-126.68830703811416
140000,-243.2912338511984
142000,-244.87315867820917
144000,-208.094651257786
146000,-244.87246702378434
148000,-285.1239695443108
150000,-245.83775105821746
152000,-164.45133237772532
154000,-426.81904089309813
156000,-205.86948753784122
158000,-200.82686295161628
160000,-199.391312025239
162000,-202.22833245303215
164000,-125.90571902529648
166000,-367.2569698589384
168000,-363.95464763516185
170000,-281.98211246179415
172000,-126.10101422973396
174000,-316.008696244564
176000,-124.43752394385528
178000,-203.9077336866353
180000,-240.3860663575482
182000,-206.25253337791835
184000,-383.80933156825296
186000,-164.22584412961078
188000,-291.2846893817681
190000,-200.01465635503484
192000,-160.88726460393832
194000,-397.57772999922054
196000,-280.6230017102444
198000,-124.86522559547949
200000,-319.5380636866716
