step,avg_return
0,-1320.2948320204318
2000,-1335.9756237704842
4000,-1287.678986492086
6000,-1473.2984363442404
8000,-1225.4197167224156
10000,-957.8111445263631
12000,-1285.51375345815
14000,-1447.8227430418556
16000,-1400.6149725833045
18000,-1642.8149538549605
20000,-1439.1698205981804
22000,-1601.1383925857633
24000,-1367.6518429553937
26000,-1447.8567081838435
28000,-1443.35955120232
30000,-1333.7647314876579
32000,-1563.0194784068153
34000,-1535.70094917345
36000,-1373.879853691531
38000,-1254.6257796658165
40000,-1382.0379450174853
42000,-1257.8617926428283
44000,-1527.1088358559846
46000,-1309.0169233266824
48000,-1284.5371534941955
50000,-1177.929507394081
52000,-1267.0814602780522
54000,-1152.246157851641
56000,-1053.5082375657337
58000,-1336.6729640462515
60000,-1527.8264529875376
62000,-1308.9666607313657
64000,-1311.605670410626
66000,-1435.0789129370621
68000,-1215.4838515504441
70000,-1149.225757927268
72000,-1309.6086510011262
74000,-1132.6768519674931
76000,-894.7574403467723
78000,-1334.5050537381492
80000,-1236.196468219616
82000,-1417.975946884867
84000,-1005.757793926787
86000,-1169.0190665551654
88000,-1009.9778824101768
90000,-1386.7790573171067
92000,-1381.55337349646
94000,-954.0333688926461
96000,-1167.3013300476498
98000,-1323.3532964856124
100000,-1082.9847251314743
102000,-1204.3874491911076
104000,-1223.1681542521212
106000,-1101.3277935373287
108000,-1232.220764518973
110000,-1155.8812163666562
112000,-1011.3800007595282
114000,-1092.1755817089734
116000,-1152.7348117879235
118000,-1057.880968461556
120000,-954.1519692900782
122000,-1202.445560685449
124000,-1232.9370325944367
126000,-1003.1334837777673
128000,-1452.4628716667187
130000,-1495.117729210979
132000,-1059.0998558071663
134000,-958.6864624190506
136000,-1301.2863538591002
138000,-1047.3491635064681
140000,-1169.8712006670994
142000,-1064.717224396909
144000,-1212.834237848953
146000,-1028.6123228186868
148000,-1148.1705713386161
150000,-1203.9795038643886
152000,-1029.6028939591758
154000,-1375.7128854582636
156000,-1154.1925376612871
158000,-1037.9175137966213
160000,-1010.6965990132809
162000,-1035.446991062343
164000,-1023.9678007145479
166000,-1266.0478565817
168000,-1352.3364986769257
170000,-1093.7919541841832
172000,-1028.962925426922
174000,-1215.7081969468493
176000,-996.0361881394082
178000,-1063.7561525895298
180000,-1002.9296592298693
182000,-1331.8890854568265
184000,-1300.7993902306619
186000,-1156.5726595878239
188000,-1272.7802951578997
190000,-1046.3513952392407
192000,-1059.5139703839202
194000,-1225.069954150516
196000,-1152.3147153328882
198000,-1108.0575198326742
200000,-1095.962699832641
