step,avg_return
0,-1260.1476561574227
2000,-1052.000849430464
4000,-1392.3822497585004
6000,-1021.1143327228777
8000,-1433.746815746613
10000,-1419.885305294353
12000,-1354.1435469853097
14000,-1325.1805338934084
16000,-1245.9747841900196
18000,-1402.1490757059212
20000,-1167.560137570038
22000,-930.5032208402363
24000,-1420.9947950282149
26000,-1278.1925308170414
28000,-1342.3607095789605
30000,-1335.7833789335818
32000,-940.3116265424893
34000,-1140.018751326247
36000,-1193.802319196573
38000,-876.4916150052001
40000,-1019.6399027169873
42000,-979.1750128497562
44000,-1110.6954023011258
46000,-1049.9870242796899
48000,-1110.6451359466948
50000,-1011.324801763606
52000,-1204.7575192381098
54000,-1092.2184850007286
56000,-967.7116953685623
58000,-1102.442011589113
60000,-1069.3493417154345
62000,-1073.9307805869657
64000,-1069.5033577103375
66000,-1007.1774263463226
68000,-978.2829710599713
70000,-1035.1537802476953
72000,-965.5370330815064
74000,-975.0857277382273
76000,-960.0939763971437
78000,-980.5251161698534
80000,-812.7187705284318
82000,-686.9351150648076
84000,-756.5009787363664
86000,-776.5350009274125
88000,-617.4849995518904
90000,-785.2370067413558
92000,-847.8507441013307
94000,-576.9171735534075
96000,-765.9721847188883
98000,-873.8513911834207
100000,-627.1527077318015
102000,-614.0206049265286
104000,-930.71828739114
106000,-723.0821353838579
108000,-340.1869452576238
110000,-419.40381502386066
112000,-329.4820388570051
114000,-248.16369373159202
116000,-320.59209438505087
118000,-245.26690851860144
120000,-246.7304116729036
122000,-509.23945287972566
124000,-125.46292533315618
126000,-586.5414024581228
128000,-664.283853829822
130000,-161.07218750002076
132000,-204.29519076906965
134000,-574.5622830665822
136000,-341.17271506310027
138000,-241.66673460453424
140000,-123.72235149481857
142000,-413.65304015933765
144000,-564.0547724524563
146000,-203.66160633828136
148000,-283.55919361958354
150000,-164.7949789611861
152000,-41.46441654761687
154000,-561.380894882576
156000,-286.1516223195786
158000,-158.23407816980787
160000,-322.33292590645834
162000,-325.1231679935604
164000,-162.61815949695708
166000,-405.46811679466464
168000,-399.58215226431656
170000,-242.45818938732359
172000,-239.0324259015964
174000,-439.95453773051753
176000,-241.05255596167967
178000,-367.1375165455677
180000,-237.30825068035924
182000,-41.786769297849325
184000,-494.6812351273
186000,-362.67399662070915
188000,-280.8368620572781
190000,-239.6967385788594
192000,-161.83075920261584
194000,-241.99838703126056
196000,-202.27969598319882
198000,-210.30883815338152
200000,-499.72816677392944
