step,avg_return
0,-1263.7664184888602
2000,-1179.4356314680228
4000,-1330.1634771172555
6000,-1174.4932750653418
8000,-1410.01580584613
10000,-1579.1558217500913
12000,-1508.2363742613263
14000,-1314.9192547197028
16000,-1177.0391164859354
18000,-1351.058314479569
20000,-1070.5994713023056
22000,-974.1220608766558
24000,-969.4924949640093
26000,-1039.703721826026
28000,-816.3331691447432
30000,-913.1965142837643
32000,-762.4648984927795
34000,-695.4281198176886
36000,-292.09222318250954
38000,-783.0301331793938
40000,-290.4700606867013
42000,-166.05380884513053
44000,-288.23313032127436
46000,-323.45533800319214
48000,-163.85027731526512
50000,-201.38329176129608
52000,-276.0012373162022
54000,-328.8867698201598
56000,-122.45363762642536
58000,-123.47111048559833
60000,-201.3528880524897
62000,-370.4457242999667
64000,-442.53402390173795
66000,-279.4068672088002
68000,-316.9718035787048
70000,-331.71301213381236
72000,-282.3061322199499
74000,-323.0981785907622
76000,-245.80427031631805
78000,-241.76422309796308
80000,-123.8193200361211
82000,-165.94049111505197
84000,-160.88591492366535
86000,-243.38037930614018
88000,-206.96886972460848
90000,-159.37599425017268
92000,-359.67731189454713
94000,-162.46181051335026
96000,-202.67662750817104
98000,-361.86787699117207
100000,-164.27990819460808
102000,-278.6912864936457
104000,-407.8031806848371
106000,-317.57308902364224
108000,-269.200288610302
110000,-200.8033256114069
112000,-119.00777146322362
114000,-159.50701918747484
116000,-306.9003697083795
118000,-81.67026745752695
120000,-204.24298283446487
122000,-516.3099711523604
124000,-124.01086804113555
126000,-339.314187052431
128000,-406.83347755179267
130000,-83.23372640269123
132000,-367.38773542147743
134000,-316.9822453204611
136000,-260.06529521447555
138000,-321.3401691787946
140000,-0.2549077153590451
142000,-159.05236078446066
144000,-393.43572833020215
146000,-281.17594557273486
148000,-243.42897308371448
150000,-201.34327396962138
152000,-42.08634546113321
154000,-547.3665954483458
156000,-250.02461143306968
158000,-241.45169485078853
160000,-285.1992911718096
162000,-327.2630178118144
164000,-163.66703453266567
166000,-240.69724626826186
168000,-280.4051333660298
170000,-199.12453582266372
172000,-363.39107891651355
174000,-320.0342178242685
176000,-281.7190373074681
178000,-407.82938850633485
180000,-199.5678361812625
182000,-121.61980443302731
184000,-464.7438820858136
186000,-323.62074643584157
188000,-399.4343121773572
190000,-238.6349175006625
192000,-160.59047845629362
194000,-198.97571901155456
196000,-234.95631819140453
198000,-200.81094916229355
200000,-198.05864136083918
