step,avg_return
0,-1237.484779754781
2000,-1276.4487177031472
4000,-1406.6531300411696
6000,-1310.1814957050483
8000,-1338.096984380991
10000,-1443.7825036343293
12000,-1455.9225968260441
14000,-1661.7100319803321
16000,-1602.4923050194955
18000,-1754.535064701546
20000,-1600.4030363152553
22000,-1523.4615633214537
24000,-1603.9129376587728
26000,-1578.0367861753896
28000,-1601.5076047540394
30000,-1365.965449927259
32000,-1293.9320333738985
34000,-1237.5171289835569
36000,-1222.3108102741007
38000,-1255.1818569535653
40000,-1206.2352969181436
42000,-1097.242781242917
44000,-1143.3857745606585
46000,-1138.8820562982883
48000,-995.8831457974637
50000,-1059.5930810159914
52000,-1069.895121262792
54000,-1180.6056898730385
56000,-905.9515391739791
58000,-892.4375009347417
60000,-925.1106808815865
62000,-1041.5136980333486
64000,-1043.6339151147702
66000,-953.8206553930928
68000,-998.8188925074732
70000,-1012.0432523938556
72000,-936.3129815145071
74000,-992.0788745624351
76000,-839.4012864318355
78000,-910.7839939008068
80000,-867.0825035106221
82000,-876.315198406052
84000,-620.5836651254859
86000,-922.8826987754982
88000,-840.494413424277
90000,-599.7156892185129
92000,-931.71799890514
94000,-847.3043694567199
96000,-896.4577993460849
98000,-931.731971944871
100000,-862.1774427735754
102000,-932.3191850622612
104000,-688.1046721402868
106000,-896.1006181290912
108000,-932.7060651555142
110000,-883.2990636805383
112000,-604.8488715191802
114000,-575.721041056821
116000,-934.3106494366667
118000,-564.9511101103736
120000,-822.3719361817658
122000,-1025.307529188631
124000,-800.8876689972818
126000,-920.7420663013205
128000,-911.1467544466178
130000,-499.6665316186523
132000,-833.2965708229891
134000,-846.0836193574684
136000,-767.2958677519937
138000,-823.3944398150817
140000,-167.71832740794176
142000,-704.1969056686243
144000,-722.1956947547809
146000,-712.4637483995948
148000,-582.6863892634136
150000,-575.3410865449356
152000,-392.23102409918334
154000,-776.368140490896
156000,-714.790449291775
158000,-575.7566863859114
160000,-497.27077526634275
162000,-757.2161413550643
164000,-249.99607848136384
166000,-412.62814573347805
168000,-662.767871513
170000,-495.4213774482518
172000,-541.2376467522118
174000,-758.526280961101
176000,-625.6331941433644
178000,-519.0119734202492
180000,-288.44475380754767
182000,-121.87027568278357
184000,-605.7721327145647
186000,-466.6169155129583
188000,-706.9036386476122
190000,-369.54163659372216
192000,-206.89250809382713
194000,-327.85098034117976
196000,-363.5098771048318
198000,-372.9508696992029
200000,-243.04070100151935
