step,avg_return
0,-25.777971866032395
100000,-28.979655453559484
200000,-28.620870399613864
300000,-23.119294073456587
400000,-17.374034242840445
500000,-21.1553695310242
600000,-18.771407553252498
700000,-26.854730709142864
800000,-22.170889033820693
900000,-15.753713349080837
1000000,-22.523476887054294
1100000,-16.407485381140567
1200000,-22.583319670564396
1300000,-18.651837367929648
1400000,-16.102454544644907
1500000,-17.117476809313718
1600000,-19.243593267314512
1700000,-18.84873084377415
1800000,-16.277526093231142
1900000,-24.38864976484028
2000000,-18.479945776549194
2100000,-13.794278746674738
2200000,-20.259629650316366
2300000,-19.178408060297848
2400000,-22.195331063221754
2500000,-19.855148204786822
2600000,-16.034299111852672
2700000,-19.283520701630312
2800000,-25.004125284455906
2900000,-22.97511902313554
3000000,-18.439294218994903
3100000,-17.33916239135064
3200000,-20.919000819953855
3300000,-16.758071358913647
3400000,-17.885120417377
3500000,-17.80533381421231
3600000,-19.804295947780265
3700000,-18.908445766252456
3800000,-19.631079157391433
3900000,-20.030624460630825
4000000,-21.388491629338912
4100000,-16.939078576188923
4200000,-16.49728879502435
4300000,-17.903897779262728
4400000,-16.641170814576036
4500000,-16.572939950807836
4600000,-19.923054244688757
4700000,-16.537778796014724
4800000,-18.79138123514851
4900000,-21.09935116722134
5000000,-16.512789299155237
5100000,-13.390393074883695
5200000,-19.419334528954618
5300000,-17.739584667227724
5400000,-19.66935298763361
5500000,-14.973357999896908
5600000,-21.179487743008927
5700000,-25.77485583209126
5800000,-19.92572193618284
5900000,-18.72764679365543
6000000,-17.80305747957835
6100000,-22.938161872488177
6200000,-13.669499477766882
6300000,-19.610371921207182
6400000,-19.266919714259778
6500000,-18.237223944277652
6600000,-15.898106094890377
6700000,-15.953032289389167
6800000,-18.460675796841123
6900000,-18.89465312499724
7000000,-23.348948258143942
7100000,-15.594406338285069
7200000,-19.63328228839959
7300000,-20.485739549463563
7400000,-17.70213808613041
7500000,-18.82353373529977
7600000,-18.140632738150053
7700000,-21.96766996375842
7800000,-18.83312465710344
7900000,-18.489917852023073
8000000,-16.405847046648184
8100000,-24.245833224947063
8200000,-23.20715587848492
8300000,-19.309881708040074
8400000,-15.485942300819906
8500000,-20.11865184343099
8600000,-21.008673752701235
8700000,-20.69966575702467
8800000,-18.257840634349712
8900000,-16.793830835606727
9000000,-20.174697882584972
9100000,-21.493754297638425
9200000,-19.329569643002657
9300000,-20.283781103224094
9400000,-18.689168620825004
9500000,-22.449646935610613
9600000,-23.585926551654826
9700000,-21.790186691454586
9800000,-19.551872280102383
9900000,-19.445492842084544
10000000,-17.56216854998346
