step,avg_return
0,-27.74937223314854
100000,-86.29446300550521
200000,-72.87613985874546
300000,-74.31970291157307
400000,-73.90991524935752
500000,-71.52531636038887
600000,-64.18876883237864
700000,-65.48412070777745
800000,-61.652051241446635
900000,-81.07277264486275
1000000,-23.414050096972108
1100000,-19.48772144811888
1200000,-23.4523164527604
1300000,-19.68707818746933
1400000,-22.35989183023784
1500000,-24.976341102776463
1600000,-21.158188645875253
1700000,-20.096830546452132
1800000,-22.364724399148947
1900000,-21.660324360769117
2000000,-14.475001559622319
2100000,-14.613451609535868
2200000,-17.038886661442362
2300000,-16.679933399656782
2400000,-16.583876232907606
2500000,-12.944803629705575
2600000,-15.333229468340008
2700000,-15.629759059818678
2800000,-13.493449740397319
2900000,-13.77646463618332
3000000,-10.703809683725305
3100000,-12.220084054068884
3200000,-13.150719387497958
3300000,-9.50868646174308
3400000,-11.174232969120677
3500000,-10.42296808837283
3600000,-10.936032745188268
3700000,-8.877274661734152
3800000,-9.860072715616578
3900000,-10.681547143342339
4000000,-8.580010208759056
4100000,-9.226567089952047
4200000,-8.89889552605029
4300000,-8.192506644557835
4400000,-14.876085342419127
4500000,-9.44762366346329
4600000,-11.52276649405656
4700000,-7.963260223398021
4800000,-7.986579388066877
4900000,-9.51231509905751
5000000,-9.809725264495441
5100000,-12.560280298000487
5200000,-8.18943192070636
5300000,-11.453442728184582
5400000,-8.831542001236377
5500000,-8.8991756608709
5600000,-8.516383034337439
5700000,-7.824045358866892
5800000,-8.251070007262589
5900000,-10.319683645227782
6000000,-10.148313775248965
6100000,-11.10079803261002
6200000,-8.976001753020658
6300000,-8.161333382354613
6400000,-10.158886546302954
6500000,-8.458215591799027
6600000,-11.045754750168657
6700000,-9.45060484708974
6800000,-7.264417719158162
6900000,-8.968450673560591
7000000,-7.419431421169098
7100000,-6.507809176200189
7200000,-7.976691976150737
7300000,-6.621543424298314
7400000,-8.679548393327499
7500000,-6.776680348734395
7600000,-9.952421392220637
7700000,-12.309818789419728
7800000,-9.11575192549309
7900000,-10.13616604944804
8000000,-11.975407039510932
8100000,-8.621115297569323
8200000,-8.085101391019498
8300000,-9.338925666786738
8400000,-9.69001972412544
8500000,-7.0439195329705955
8600000,-9.395341842067985
8700000,-8.476327308062944
8800000,-8.276059393690488
8900000,-9.037749886502546
9000000,-8.777796185959167
9100000,-8.357890481698849
9200000,-8.967677785725938
9300000,-8.7374450135651
9400000,-8.639496428422309
9500000,-9.0569028385532
9600000,-9.849867305252985
9700000,-9.777376583609188
9800000,-9.057008339323888
9900000,-11.172604396048595
10000000,-10.010897803484202
