step,avg_return
0,-64.27325883194274
100000,-35.13040252432515
200000,-24.307703254688043
300000,-17.847842938610864
400000,-28.012180680542524
500000,-23.898440446731588
600000,-19.200583146674493
700000,-22.664138644528297
800000,-20.32745167248882
900000,-19.733504795965164
1000000,-18.714766981260986
1100000,-20.273150475173363
1200000,-18.963738776989643
1300000,-17.976094437065424
1400000,-15.759604535477157
1500000,-21.86855303966849
1600000,-19.512232143467124
1700000,-16.506019002968422
1800000,-18.445132234286337
1900000,-21.07411617063061
2000000,-15.755287732636543
2100000,-17.165097922417672
2200000,-15.162522210124626
2300000,-20.86017788647297
2400000,-17.852691336228464
2500000,-21.47060107552568
2600000,-15.681489934031896
2700000,-17.233210591704687
2800000,-15.360388102483977
2900000,-16.36987476485272
3000000,-16.525222253092114
3100000,-18.521329953636723
3200000,-17.624483336487792
3300000,-17.39547286080669
3400000,-17.634784543853378
3500000,-16.93387496661187
3600000,-17.014277878888656
3700000,-17.584054955689815
3800000,-16.1220292053107
3900000,-12.724575949555483
4000000,-15.707256123535604
4100000,-16.572777093870673
4200000,-17.36166326356777
4300000,-15.66068982657271
4400000,-17.264029153798166
4500000,-12.773521365676183
4600000,-14.45239609804176
4700000,-13.831738917499555
4800000,-14.745499985699897
4900000,-11.343406694014046
5000000,-14.244910973598598
5100000,-14.214186163554908
5200000,-11.749582166133939
5300000,-14.82236042452207
5400000,-15.12495617023682
5500000,-12.74107797292969
5600000,-13.529340549296993
5700000,-16.447663531374427
5800000,-13.453985850290513
5900000,-12.844731634164749
6000000,-13.113270555035843
6100000,-12.886043991485346
6200000,-15.977698758209351
6300000,-11.178288895033381
6400000,-10.36664935959404
6500000,-12.286939237093485
6600000,-10.880978985000658
6700000,-13.01313893476592
6800000,-11.455941206338426
6900000,-13.969188095661792
7000000,-15.356036523752739
7100000,-13.4317216784088
7200000,-12.488636483587777
7300000,-8.344311882003574
7400000,-11.099812074646525
7500000,-13.159007239324598
7600000,-14.334304786579953
7700000,-12.180443142673681
7800000,-7.997922253819667
7900000,-10.825961790001083
8000000,-12.142204485741924
8100000,-12.368944563180978
8200000,-11.673254614623342
8300000,-8.744309837503348
8400000,-11.830148311398252
8500000,-13.866873602421993
8600000,-9.032201128888547
8700000,-11.31204124114316
8800000,-12.119108042412318
8900000,-9.408647214538817
9000000,-12.080064776687708
9100000,-13.031983789452275
9200000,-12.216881148917718
9300000,-10.72904232379029
9400000,-11.483607189545902
9500000,-12.228698149008029
9600000,-11.171831941680741
9700000,-13.944617929229867
9800000,-11.948687845637568
9900000,-11.046644694004545
10000000,-9.762434637891474
