step,avg_return
0,-26.60062682687494
100000,-33.4286424296294
200000,-33.860815735886035
300000,-30.33524485162102
400000,-37.85974849008353
500000,-38.53339503985398
600000,-37.34325710737547
700000,-42.76127219879956
800000,-29.19366802329963
900000,-35.85781851775269
1000000,-40.66020267049579
1100000,-38.38751264349013
1200000,-37.115477263933755
1300000,-29.759579756497846
1400000,-34.812131804518735
1500000,-34.907292931567454
1600000,-33.67331950328021
1700000,-27.970400885973692
1800000,-28.608481760632845
1900000,-29.83738191959004
2000000,-27.65241475987039
2100000,-23.40496494647621
2200000,-22.178373545272528
2300000,-21.786336136852835
2400000,-20.328595292760728
2500000,-19.975269795494647
2600000,-16.594207700137666
2700000,-20.991953103857906
2800000,-17.857907816672824
2900000,-19.472090869399185
3000000,-18.891581756863143
3100000,-16.7294631911382
3200000,-17.958561034943777
3300000,-20.805586238686967
3400000,-19.845946544678633
3500000,-22.233744345817183
3600000,-19.685155742831718
3700000,-18.475095573515443
3800000,-18.300113686936932
3900000,-16.323164690234005
4000000,-19.331655954321278
4100000,-17.580079184163193
4200000,-19.30636284246475
4300000,-18.446491784327264
4400000,-17.542722254234203
4500000,-15.535780722547594
4600000,-18.941441489760948
4700000,-17.23360905330617
4800000,-18.132158547384684
4900000,-13.544171468848225
5000000,-18.486363435359994
5100000,-17.392834437062223
5200000,-14.540192478483016
5300000,-18.002341662883044
5400000,-12.6848494152385
5500000,-15.958593128479563
5600000,-20.28595942197742
5700000,-12.688284224003432
5800000,-18.08049096672094
5900000,-15.717418357359048
6000000,-15.97293289639558
6100000,-14.402440612030873
6200000,-13.164512067102276
6300000,-13.508968562815998
6400000,-12.980160187467169
6500000,-12.815771133915854
6600000,-15.167493289913372
6700000,-12.176021411163529
6800000,-13.580008441319013
6900000,-16.392690314831146
7000000,-17.72768253990798
7100000,-15.163150629867484
7200000,-15.381895837452452
7300000,-15.469200688966893
7400000,-13.607703839473908
7500000,-13.80913774008808
7600000,-12.706455454650186
7700000,-10.514890614902558
7800000,-14.676982322377844
7900000,-13.407682357399134
8000000,-17.994156630432542
8100000,-13.495535801751739
8200000,-11.5503280050721
8300000,-15.01047703315263
8400000,-12.117717375375786
8500000,-14.0569723908549
8600000,-17.5899603452647
8700000,-12.58493321593301
8800000,-16.109904115723655
8900000,-13.153783398161849
9000000,-13.937541501895447
9100000,-11.663861824357715
9200000,-14.664862315859116
9300000,-14.39522084220296
9400000,-12.238582640216185
9500000,-10.47634260385793
9600000,-14.096788789731951
9700000,-11.651903039596602
9800000,-15.149901578155726
9900000,-13.355374561643577
10000000,-11.844258886368005
