step,avg_return
0,-24.61295397277322
100000,-17.472959900414057
200000,-25.30481887000985
300000,-27.42236627149083
400000,-20.49007326628933
500000,-25.397543252405306
600000,-20.833029489929196
700000,-65.24243723112114
800000,-58.07980228126853
900000,-50.56103217164344
1000000,-46.975309121238716
1100000,-32.99920862758863
1200000,-32.5543614087248
1300000,-28.999213775493963
1400000,-22.17769576305721
1500000,-21.958180076428715
1600000,-26.65469489256854
1700000,-24.094261334301642
1800000,-26.10400552868208
1900000,-22.67601663206586
2000000,-19.237538910339545
2100000,-19.18580380187168
2200000,-22.67735968453074
2300000,-17.987557668231705
2400000,-15.906191973609015
2500000,-18.168111974713987
2600000,-14.688278426531545
2700000,-15.983636000352252
2800000,-14.254435590653637
2900000,-11.53265500069069
3000000,-13.618503004965868
3100000,-10.132937065272653
3200000,-12.104865122635548
3300000,-10.213090085959996
3400000,-11.580472773324313
3500000,-8.586596500786161
3600000,-10.614174483426876
3700000,-8.20609775905896
3800000,-9.58286294738578
3900000,-8.67753257098595
4000000,-10.391880518066115
4100000,-10.409999248207345
4200000,-7.535844810594833
4300000,-7.885963652727689
4400000,-9.126551392431075
4500000,-7.543507109294777
4600000,-7.049283448381523
4700000,-8.66345695285597
4800000,-7.803105092590539
4900000,-7.512115806467935
5000000,-8.515053839351785
5100000,-6.728636392765788
5200000,-7.357317661415712
5300000,-6.961102993315175
5400000,-10.00525080879957
5500000,-4.872040635380519
5600000,-8.936062019514287
5700000,-8.754288984697006
5800000,-6.897842966334461
5900000,-8.48098662351588
6000000,-8.343710030345212
6100000,-7.515572349767611
6200000,-8.915606519683447
6300000,-6.227555902289697
6400000,-7.482387592504518
6500000,-7.319147327949787
6600000,-5.48969710476155
6700000,-6.273773783003383
6800000,-6.827383331694557
6900000,-7.013489284821242
7000000,-6.265054311268571
7100000,-9.715257354687159
7200000,-6.9211307790383385
7300000,-7.399214787646552
7400000,-7.770537348967809
7500000,-7.951220949331955
7600000,-5.721651141057661
7700000,-7.250424960438503
7800000,-6.981720423166239
7900000,-7.9802694678381725
8000000,-7.3613343281730055
8100000,-7.926681870573678
8200000,-7.058198396842111
8300000,-7.256832892881745
8400000,-9.25862273351859
8500000,-7.363826785992417
8600000,-6.730779711139277
8700000,-8.389539077357757
8800000,-7.852722836157261
8900000,-8.53844863258111
9000000,-11.098067817999317
9100000,-6.543499699792288
9200000,-7.474189614917296
9300000,-8.799600449779373
9400000,-7.503006333595944
9500000,-6.44447957676271
9600000,-7.5187395118224485
9700000,-7.279858329575532
9800000,-7.286257499685543
9900000,-7.744019039207492
10000000,-8.50723405305919
