step,avg_return
0,-48.38615956183206
100000,-37.15712203815892
200000,-30.97631859947311
300000,-29.619555682608155
400000,-34.642740251242536
500000,-37.58607834935931
600000,-35.520359834354295
700000,-41.68265862707186
800000,-47.123557775812074
900000,-41.33839683656796
1000000,-52.9902468884285
1100000,-55.26946796855282
1200000,-40.21418972768529
1300000,-29.24230367788449
1400000,-36.2519494317321
1500000,-43.90630517701953
1600000,-26.70717000218111
1700000,-45.12746543288236
1800000,-52.01447893938952
1900000,-33.50427221303759
2000000,-30.393605992921273
2100000,-49.01034892189259
2200000,-34.11348661712121
2300000,-33.13789167503737
2400000,-29.436145653135775
2500000,-35.57045090960186
2600000,-41.481523473150936
2700000,-39.36046912250846
2800000,-33.05721374804985
2900000,-39.002634115119875
3000000,-25.80643448116526
3100000,-34.24531690372902
3200000,-33.601745236372416
3300000,-28.239111957813712
3400000,-39.38419437306654
3500000,-21.96997229870955
3600000,-34.07197874252954
3700000,-35.0996763902473
3800000,-41.10874908340188
3900000,-39.87970900734301
4000000,-55.4773393885318
4100000,-33.563360357657466
4200000,-44.28341205164618
4300000,-31.2438357146861
4400000,-57.46696460161977
4500000,-52.35534328056359
4600000,-38.6882280541537
4700000,-50.52106185264584
4800000,-60.03055422818725
4900000,-61.389266520868354
5000000,-47.01071027868011
5100000,-61.3361279254058
5200000,-30.85776106138801
5300000,-47.366946939937854
5400000,-29.235651444892955
5500000,-29.576817046287015
5600000,-57.03662467615684
5700000,-40.417585371765554
5800000,-37.95246320144737
5900000,-51.11342824390918
6000000,-35.168447059431585
6100000,-33.569460598807034
6200000,-49.81971592399472
6300000,-41.80656312809772
6400000,-38.10219517604377
6500000,-44.87377249781123
6600000,-35.60533154602558
6700000,-34.1550139206698
6800000,-64.06489420201123
6900000,-55.524322250356796
7000000,-68.35811464612644
7100000,-47.14661731435899
7200000,-40.73306003047857
7300000,-64.49489707016745
7400000,-45.707486538591
7500000,-67.25299931385737
7600000,-34.82950347991283
7700000,-57.64906910640896
7800000,-37.97489155065511
7900000,-50.800472700544184
8000000,-46.71075353199995
8100000,-67.46470830286617
8200000,-61.84748922372231
8300000,-60.684978952936625
8400000,-28.928489534039784
8500000,-57.90444920072897
8600000,-65.73760604234332
8700000,-54.03738916254163
8800000,-58.82391875795527
8900000,-63.04746930108647
9000000,-51.20775852582592
9100000,-62.929077860782456
9200000,-65.94527040235418
9300000,-57.72595680818235
9400000,-64.1054769633479
9500000,-64.22970098636041
9600000,-40.796763640859375
9700000,-38.57485695615245
9800000,-62.12623189016843
9900000,-59.02726303955677
10000000,-46.5362651092328
