step,avg_return
0,-56.18794120898991
100000,-24.596139299131597
200000,-27.882678452819068
300000,-21.103951060569702
400000,-18.378734012358294
500000,-24.578172331747616
600000,-20.18601708729521
700000,-22.2097675039499
800000,-18.54622470745012
900000,-19.740936063494626
1000000,-19.731868555847946
1100000,-17.31407671740097
1200000,-17.784019032212676
1300000,-11.885783133887717
1400000,-16.45309859666377
1500000,-15.263763874219896
1600000,-19.331987900051626
1700000,-16.19390497234511
1800000,-17.09764990994629
1900000,-14.707030981706001
2000000,-16.515765793805862
2100000,-15.262153470658621
2200000,-12.332135454401973
2300000,-15.319678043104682
2400000,-15.695666936747717
2500000,-14.052167603908023
2600000,-15.401479735975034
2700000,-14.107616067160155
2800000,-20.176193221899403
2900000,-15.695663939908494
3000000,-14.849280156722562
3100000,-16.762280241055528
3200000,-16.54948103959496
3300000,-12.33272484219377
3400000,-17.27027862673986
3500000,-12.589475890373395
3600000,-13.898787146252605
3700000,-14.583677348434941
3800000,-14.75741419950204
3900000,-14.902674230729176
4000000,-14.871893819665624
4100000,-12.087917575997377
4200000,-17.68924238470454
4300000,-15.291569994704158
4400000,-14.447609082991182
4500000,-15.092755945945177
4600000,-11.038632457254922
4700000,-15.140758135164239
4800000,-12.44927390725505
4900000,-14.43643947291487
5000000,-13.118316038759337
5100000,-13.603308771605942
5200000,-14.332300648224692
5300000,-11.959739805931086
5400000,-12.890075234033025
5500000,-18.021699851242655
5600000,-13.340716485114683
5700000,-12.594926156777925
5800000,-12.805059001277405
5900000,-13.750028938315927
6000000,-14.796628763215427
6100000,-16.597934597811932
6200000,-12.970520381285345
6300000,-15.563143084953605
6400000,-14.427155484604068
6500000,-15.170924498120291
6600000,-11.82767355550554
6700000,-12.683281820469723
6800000,-13.190105534077608
6900000,-13.68731856992098
7000000,-14.955443110471098
7100000,-16.211476487806177
7200000,-14.846283867534328
7300000,-15.466181230184763
7400000,-13.440991930831185
7500000,-13.885658015756661
7600000,-16.4327076684598
7700000,-14.965339783415422
7800000,-9.564866786904423
7900000,-15.20510287752921
8000000,-15.99826074931617
8100000,-12.207957718349414
8200000,-11.589903525277782
8300000,-12.183524176923026
8400000,-12.755424701574254
8500000,-18.351586147493485
8600000,-16.98282747406796
8700000,-10.209643884929436
8800000,-12.955120308917895
8900000,-12.268914595943324
9000000,-11.676873336076861
9100000,-16.475717385323698
9200000,-14.076457908552323
9300000,-13.644620528115667
9400000,-10.373275533076896
9500000,-12.784038929796722
9600000,-11.826614902620438
9700000,-16.015240024682193
9800000,-15.155808562973451
9900000,-13.30979706649743
10000000,-12.782492073174236
