step,avg_return
0,168.10183824914353
5000,153.68913198319976
10000,163.32115193132688
15000,165.12254380547074
20000,169.64698351183566
25000,151.71691338293058
30000,4.957697839434267
35000,138.23409605690063
40000,160.69409652132194
45000,168.80743009727823
50000,179.79081768576202
55000,186.94662118696814
60000,234.5580154559424
65000,267.79882282068365
70000,247.63077285207632
75000,248.598927520552
80000,234.0462548561371
85000,199.98433533754724
90000,276.7439148392151
95000,279.4221171483834
100000,331.07297087138204
105000,341.50054539674517
110000,339.7509365759583
115000,43.04605438145931
120000,316.53963752448357
125000,328.05451255718117
130000,356.96209352175583
135000,277.2087774400854
140000,238.9813268301682
145000,326.5548159782402
150000,309.2102092064867
155000,282.6416452413168
160000,328.886495649289
165000,417.6580692211651
170000,527.8305227917338
175000,468.3921062315624
180000,454.34860333450996
185000,356.514270664976
190000,320.41978319661507
195000,323.54164659626076
200000,266.7613363572055
205000,338.50856643384367
210000,299.21431254248733
215000,223.8458193582995
220000,619.0696463777358
225000,1112.035783528659
230000,652.9898285501814
235000,274.43797970149654
240000,360.2476311158321
245000,980.4165668277436
250000,539.765548885527
255000,428.33804942874593
260000,448.38062885737685
265000,479.44613237803037
270000,1443.8341588671683
275000,240.68159429388413
280000,151.68576324598575
285000,144.19368133968487
290000,1828.777164294381
295000,309.42086849143897
300000,383.10517152120747
305000,414.8046411114804
310000,1057.5359314715652
315000,1066.7164187771625
320000,865.9273986866637
325000,1375.5698827708886
330000,1005.5878609465049
335000,1210.5347181204852
340000,1520.7040833437943
345000,1116.7165613830139
350000,1545.7861007682768
355000,1862.8839026855405
360000,1504.5558716739768
365000,2063.6588750849482
370000,1905.054437249147
375000,1337.2556560477767
380000,2814.2892134951776
385000,1080.5400249841368
390000,1108.2722539977256
395000,817.4779649075775
400000,750.2111525217806
405000,2878.2097464552985
410000,1864.6882182311053
415000,1560.761716541033
420000,1635.733915886484
425000,1620.5282152014122
430000,1236.548831649856
435000,1227.0963844713058
440000,1276.4310410338992
445000,1410.2663461732157
450000,1287.277930273827
455000,1284.4127945592556
460000,1467.766520565222
465000,2009.5177410551626
470000,1187.3834391463677
475000,1808.7024384221666
480000,1666.1388741222065
485000,3119.7446240380827
490000,2130.3064671332136
495000,1383.323850135447
500000,2816.5761559762236
505000,3099.9743237371804
510000,949.4686239483823
515000,2281.347161682485
520000,2708.149853752014
525000,1307.5802119538985
530000,2186.784497175122
535000,1204.5717882556808
540000,2533.37248806884
545000,1323.5271043052505
550000,2247.0229569196454
555000,1968.2691449361148
560000,2974.4581454753575
565000,3161.5895553067508
570000,667.9455933668041
575000,150.3791998663345
580000,2771.898962867757
585000,804.0611718743794
590000,1340.7616319212366
595000,1064.9889945259056
600000,836.1449397121252
605000,1097.7701997075856
610000,2628.993812080864
615000,2901.5509150802914
620000,3275.3540184761464
625000,167.18860502428512
630000,3296.9964379605262
635000,2513.7694596987603
640000,2792.4397714365464
645000,3247.4353300031166
650000,2633.6928978979827
655000,3128.0448386382996
660000,3311.08372397597
665000,2585.1619054883904
670000,3357.874655340014
675000,3296.757863856203
680000,3341.9601373082637
685000,1418.8202709430725
690000,2755.501381801799
695000,2986.7004081544324
700000,1773.986238687271
705000,3267.3531009366875
710000,2309.418931937729
715000,2056.611941209603
720000,3213.2121444285426
725000,2048.8094315539493
730000,3297.717220804359
735000,3266.471365131473
740000,3128.16523797552
745000,1372.3445944756456
750000,3291.7860262289337
755000,2992.7142043686067
760000,1480.2755105918598
765000,3233.03616956841
770000,2843.144052389464
775000,3363.4262619307888
780000,2297.402330454395
785000,913.8817653258255
790000,1108.9992900052441
795000,2141.013341691283
800000,2263.3235566520852
805000,3272.123741877908
810000,3349.8646054920905
815000,3416.503973511489
820000,1050.2270435862772
825000,3398.788882897546
830000,3475.339259699882
835000,3358.7292973728236
840000,3275.821127859004
845000,2402.2751418245844
850000,3130.7540127122224
855000,1921.2933522057203
860000,1630.691213424856
865000,3603.0381545963573
870000,3483.284247099921
875000,1366.2936001150845
880000,1333.081757295722
885000,1370.1664710805155
890000,1617.8011768653625
895000,1704.0747013217704
900000,545.6915733166785
905000,1144.4348142624146
910000,3549.0432176897248
915000,1746.2603440819055
920000,2361.7523513900646
925000,2717.0619233336934
930000,1798.5400115428693
935000,3483.96698525857
940000,1679.5759366104685
945000,1326.3421779485145
950000,993.0291206020074
955000,1059.8717214321302
960000,451.6729753517348
965000,1867.3674405791214
970000,3560.1633309148187
975000,3226.3023708006167
980000,3568.657000080046
985000,2572.7150600727246
990000,3440.164679149697
995000,2661.9215984253206
1000000,3629.655187694445
