step,avg_return
0,47761.1778521192
4992,50296.91372042031
9984,51712.60529083109
14976,46519.652690554685
19968,45507.918111763625
24960,52751.39142798635
29952,49119.0458491116
34944,52384.58140551284
39936,50295.34152383614
44928,54817.24136829379
49920,58945.88113754996
54912,34664.85897336093
59904,50460.5072600654
64896,56704.538570510085
69888,49724.3899145138
74880,51965.088300686104
79872,53315.241343161615
84864,56218.3074656398
89856,76470.54436276223
94848,50413.45173419694
99840,64333.80806313368
104832,59322.29623135703
109824,56745.20209891235
114816,57558.65108042393
119808,57571.87390726913
124800,55844.878262239625
129792,60329.11617933246
134784,63784.164516534765
139776,67799.95577208132
144768,65092.762374513586
149760,55810.35996443702
154752,61929.69125748484
159744,59791.86286991272
164736,63120.88508889576
169728,80436.22764174844
174720,66919.29028354968
179712,68018.11680995006
184704,57206.73070199482
189696,74457.4944127518
194688,70833.67703085345
199680,71064.91188629826
204672,70803.73168049456
209664,74412.43093440065
214656,60748.94049289358
219648,77676.17105460736
224640,72612.10990425777
229632,69783.93715090728
234624,74385.66123549601
239616,78104.70913702542
244608,89565.92143362558
249600,75726.56033098557
254592,112889.12622825713
259584,89047.49439816551
264576,89421.65207614303
269568,71011.26733233013
274560,111183.36911550102
279552,76716.22119207305
284544,66746.1368857608
289536,89053.38005788375
294528,84741.7911184921
299520,113257.82222285571
304512,61308.26604662964
309504,65186.301105569786
314496,74733.2329317853
319488,62638.12317058502
324480,90039.15977919131
329472,66811.70562337476
334464,94784.61314137501
339456,122447.19772023935
344448,86188.21601502811
349440,88146.7466039947
354432,130675.7535245131
359424,107516.73122912204
364416,111662.45977298603
369408,141966.75175255758
374400,136586.26470182202
379392,85641.24131203849
384384,120990.24481654172
389376,135964.56460465223
394368,133009.8197484984
399360,145925.1041329133
404352,139567.1808222098
409344,141833.22637323337
414336,115407.94609677227
419328,151429.93712597076
424320,129842.53507001053
429312,111933.11389062712
434304,57492.864078855404
439296,53738.621178197056
444288,57718.97370450874
449280,56461.05491622221
454272,62303.54953657112
459264,86257.92820142374
464256,63909.44274085071
469248,67876.2527632113
474240,89692.34578459134
479232,89296.1455801631
484224,118495.00261456605
489216,108644.07094494656
494208,84621.14561604815
499200,53950.19392148649
504192,94743.76013411
509184,47580.55383131781
514176,66523.46668969105
519168,120378.00804716861
524160,117774.03467993501
529152,109547.5846948893
534144,61904.93537539035
539136,112874.86072245122
544128,134038.1344189583
549120,119651.09117377661
554112,116908.54041224853
559104,103982.84913788195
564096,87927.84031562707
569088,106986.60681513841
574080,89108.14599577688
579072,138556.7681594211
584064,153052.43360807782
589056,122910.80221880534
594048,109155.4000411358
599040,119440.56295985675
604032,84627.33475484059
609024,121463.69509964129
614016,155230.99087533183
619008,123388.38435877499
624000,123540.97309115138
628992,151635.1078594583
633984,108275.85818125699
638976,131668.42148313788
643968,132372.8836114327
648960,117025.34295494655
653952,155002.4357092769
658944,156013.93699212014
663936,145863.32323650343
668928,137068.27560099476
673920,101046.35754397868
678912,137523.3267264885
683904,155271.68042281654
688896,145728.66009298092
693888,135408.5254719087
698880,140024.60080602532
703872,130406.3546301602
708864,133269.7564085531
713856,133232.1148661135
718848,105737.40977721983
723840,155809.82410279996
728832,73306.68618261402
733824,116471.82755847035
738816,57093.84896241033
743808,50311.60370031534
748800,74575.99468372577
753792,71241.37007413826
758784,96769.8392650794
763776,75864.7704667545
768768,83411.26099854038
773760,111461.64735822628
778752,100593.76866554398
783744,47862.34786821651
788736,105015.61309230153
793728,110766.33012602631
798720,98023.7931676176
803712,106119.28529325018
808704,89965.24825773122
813696,95144.0283879789
818688,140333.47491185492
823680,138848.80746028913
828672,130670.24536324221
833664,121520.16870930132
838656,84232.3601239276
843648,62046.55863043499
848640,121236.33841482135
853632,98942.58051814047
858624,84831.32468478433
863616,152669.928568201
868608,108087.0788333635
873600,126502.06602403475
878592,132637.79675768453
883584,145295.795639156
888576,75525.09725077465
893568,131123.32269861948
898560,97347.78617583039
903552,123469.38829834857
908544,126900.02589842996
913536,135694.16301315403
918528,154469.7569709897
923520,151896.27385353614
928512,132982.5198962307
933504,150119.37604622912
938496,121884.75455942063
943488,154661.4125906936
948480,154354.85954784628
953472,154982.74717980748
958464,155384.50358097776
963456,154119.96903871666
968448,151030.62844402474
973440,104727.91478241225
978432,138839.60539983775
983424,151176.7257010298
988416,155384.8638191997
993408,136041.24479602516
998400,136579.15615677508
