step,avg_return
0,31348.012193945906
5000,33444.09534234301
10000,30646.993681654934
15000,92593.11676214763
20000,87330.30232496554
25000,100493.4751531041
30000,82759.05784480243
35000,130059.58903580466
40000,127941.77352019523
45000,111413.50652781797
50000,127625.50620504719
55000,133395.09095494487
60000,132702.84639015314
65000,128179.9056379315
70000,131042.57180613303
75000,133541.0275161195
80000,131767.29089999513
85000,133036.45590217705
90000,132292.19373168945
95000,133296.45286730633
100000,123342.07727332534
105000,119273.84288441051
110000,126233.67052977665
115000,129996.38963147206
120000,119573.49170538894
125000,131564.3316585275
130000,130327.69982091773
135000,126442.64833294688
140000,131210.9767284061
145000,131943.73442793378
150000,134252.77878690002
155000,134964.73354703523
160000,133080.44280923624
165000,135180.16123543508
170000,133321.06793804863
175000,135180.00010296886
180000,135248.45551539643
185000,135340.03778040214
190000,135290.31358506987
195000,135424.66176525323
200000,135433.64121563736
205000,135031.4606447648
210000,135230.14446226545
215000,135259.9055228591
220000,135391.66426033876
225000,135003.4595817284
230000,133889.63100525332
235000,135283.44448639327
240000,135447.44687005065
245000,135541.0674891466
250000,134094.0420981086
255000,134904.63969494213
260000,135759.29952132513
265000,135267.89830918834
270000,134922.21206465585
275000,135016.9870757799
280000,134485.792545315
285000,133625.66834030117
290000,131416.86705862475
295000,135145.9651590209
300000,135276.07229705915
305000,134950.3532964184
310000,135387.76696382975
315000,135345.26217031418
320000,135451.6118674227
325000,134510.87304359453
330000,135020.55310400898
335000,135542.63767400352
340000,132886.6829262369
345000,133179.22832636835
350000,135413.7102078776
355000,134769.87791615943
360000,133884.3889231916
365000,135382.82284638754
370000,134491.21297642592
375000,135826.82007645437
380000,133460.8253849486
385000,134362.78926426647
390000,133871.0267796925
395000,135130.4098417757
400000,134200.54652379992
405000,135397.9079705242
410000,135539.75079722973
415000,135581.59841664296
420000,135351.81263701807
425000,134653.02353759247
430000,135751.002175402
435000,134807.9889905032
440000,135257.6223171336
445000,133504.65991095983
450000,133616.33264871096
455000,135371.4128690176
460000,133540.7689340729
465000,135000.65626799542
470000,135362.8623624807
475000,135326.3935612106
480000,134099.62652414167
485000,135679.42343658995
490000,134964.79967328638
495000,135079.06963096888
500000,134498.1097546408
505000,134976.0662083814
510000,135327.19395133716
515000,135687.33234735712
520000,134685.11780512962
525000,135230.50325599386
530000,134412.75643276807
535000,135416.44165517006
540000,135623.03465363942
545000,133939.25827194878
550000,135333.78178422016
555000,134864.46112897407
560000,135480.52276748174
565000,135253.19941163997
570000,135734.815251742
575000,135583.6508215249
580000,136114.4516996848
585000,135649.0692504396
590000,136151.0743091556
595000,135611.620988602
600000,135674.98097983864
605000,135740.58532332059
610000,134860.5401250085
615000,135794.0170471935
620000,139521.71175863643
625000,134071.831252097
630000,135650.5628516777
635000,135352.58168309586
640000,135275.95790548564
645000,136617.88403082764
650000,142198.27506411265
655000,140443.10006685575
660000,145335.9733100151
665000,126324.5322669859
670000,109761.58938766275
675000,113909.84955780517
680000,148349.38060205945
685000,112505.9710866997
690000,126662.90670097852
695000,83623.84669149308
700000,95067.54731727733
705000,80724.34841386136
710000,151922.12175723142
715000,127161.95237023888
720000,113026.51299948018
725000,153799.47119575573
730000,147673.10239142846
735000,145216.17730048925
740000,148136.44160719708
745000,152925.04167446526
750000,152464.60633419335
755000,151223.22091033534
760000,151980.73112317992
765000,153308.09348487426
770000,151233.13059350316
775000,152569.85495849492
780000,152456.67956174116
785000,152426.3949374795
790000,128720.62596432083
795000,152160.44468189194
800000,153060.00705277326
805000,152663.45636491466
810000,127418.27948796272
815000,151542.650186891
820000,151603.30965078247
825000,140088.06280256968
830000,151918.9466926337
835000,151494.16768327143
840000,152109.9611922223
845000,152703.5669834024
850000,150625.16949924652
855000,143578.78112442864
860000,144597.73649009038
865000,151202.05057442034
870000,149858.7239006561
875000,143870.83777614625
880000,146911.01467932438
885000,151337.91687303875
890000,151597.34960189744
895000,152032.9775992823
900000,152128.1887019473
905000,151781.3536120094
910000,151364.8349508148
915000,151457.29521383715
920000,152242.20044183815
925000,152148.65648775498
930000,151699.5696821518
935000,139653.8854662813
940000,151872.5499339552
945000,152291.6414199072
950000,128624.07028607617
955000,151777.0872975737
960000,151941.0744715777
965000,152771.10208236196
970000,151800.37577969255
975000,151603.7265949606
980000,156824.22460885116
985000,151062.42722382952
990000,151867.39746500386
995000,150553.12865892923
1000000,131321.4194871514
