step,avg_return
0,-53.19031391530939
5000,-56.17185519628012
10000,-50.87681291113797
15000,-49.033089723194045
20000,-46.310126624846994
25000,-43.97831244235459
30000,-41.42437666543656
35000,-30.873413271319162
40000,-37.98642304805505
45000,-35.83909052124914
50000,-39.90138588362774
55000,-33.528400131381005
60000,-37.62519308918072
65000,-39.97051567187375
70000,-31.56109657295332
75000,-34.29944973031929
80000,-32.203993859835066
85000,-36.633778541872395
90000,-39.815150234898006
95000,-67.49106518579794
100000,-31.912472513683195
105000,-36.12536399904963
110000,-39.2335208891114
115000,-39.38169233304429
120000,-38.608877731361545
125000,-34.403988832364554
130000,-31.24273958146557
135000,-37.52991615523975
140000,-42.00245066399459
145000,-36.34098861757541
150000,-35.325304755709304
155000,-32.696894080083524
160000,-36.51015104129488
165000,-31.971689609581848
170000,-32.364209231305985
175000,-30.03737977987065
180000,-35.20012344057154
185000,-34.398631038713354
190000,-36.49804747629555
195000,-29.998298122740888
200000,-37.976917874210805
205000,-32.55750775716795
210000,-38.462602594773365
215000,-35.13344464646311
220000,-32.544305433260014
225000,-34.8668869958937
230000,-35.55814639619569
235000,-32.56435477582793
240000,-38.06211266103432
245000,-36.33466343166089
250000,-34.483289128016644
255000,-30.37774599625824
260000,-32.804763774464746
265000,-35.061150465802406
270000,-33.15137123031937
275000,-31.317174789063447
280000,-36.150141607460256
285000,-31.87061122550698
290000,-34.47612555625557
295000,-31.19081053148396
300000,-25.20257067888384
305000,-37.8886314359568
310000,-30.051342919409876
315000,-30.666665173392403
320000,-32.82320294509491
325000,-30.64754424001916
330000,-35.864825608903594
335000,-30.415000602684163
340000,-32.455896368457
345000,-33.65778580672207
350000,-27.37638127434039
355000,-29.187037416774682
360000,-41.357651093670825
365000,-31.02695798902737
370000,-30.95558940584728
375000,-30.58685383606142
380000,-32.63745585241952
385000,-34.068755440167855
390000,-34.036817753984685
395000,-29.18649478263484
400000,-41.093737407249684
405000,-28.776253860654254
410000,-30.350982275874646
415000,-35.57036675295986
420000,-31.53306684530914
425000,-26.94040934478345
430000,-31.82242267280007
435000,-50.92845526750644
440000,-31.37913656038829
445000,-28.788495657253065
450000,-39.89905145284861
455000,-33.33493490755658
460000,-41.76218712851349
465000,-29.879637852409875
470000,-34.53623517896298
475000,-28.85356621116406
480000,-31.993808753198966
485000,-35.25261529006601
490000,-28.063487377043543
495000,-31.872713404438798
500000,-28.39183787848936
505000,-32.38073817740344
510000,-34.63069471789151
515000,-28.008308480777355
520000,-35.98140627573057
525000,-51.909676452267576
530000,-39.18291940041197
535000,-25.18937155824764
540000,-32.879418432082964
545000,-40.822212856747235
550000,-29.97775747376612
555000,-31.216457564024306
560000,-30.88293850484692
565000,-29.283275291336746
570000,-51.016626726579254
575000,-36.761785126957285
580000,-36.7886382199369
585000,-26.753662973346838
590000,-31.72259180337174
595000,-35.013280200896965
600000,-38.15105714157426
605000,-32.20993619644002
610000,-34.49272585286126
615000,-31.698931887438903
620000,-29.83072362642896
625000,-37.2597743566623
630000,-27.89771864914213
635000,-32.898438513061656
640000,-25.6734588245963
645000,-38.64885107815632
650000,-28.631049896561837
655000,-32.314707934529764
660000,-34.03550416256685
665000,-33.1097500176349
670000,-31.684579415187255
675000,-35.24046640334179
680000,-32.96584873040527
685000,-32.597059313669064
690000,-34.15643112074845
695000,-36.508578465214676
700000,-32.05463413064411
705000,-30.838929652500468
710000,-31.414777242092097
715000,-38.8680124200607
720000,-32.21461291114138
725000,-31.784321486105483
730000,-46.802463944482064
735000,-37.7556277950029
740000,-28.79883222738755
745000,-34.195070282118714
750000,-31.75050133893988
755000,-27.90514738861917
760000,-37.484649124996885
765000,-34.21624539439794
770000,-31.687832950957098
775000,-31.433926029362183
780000,-32.56417037364123
785000,-37.18915160238118
790000,-29.862229713229492
795000,-32.14794824529883
800000,-26.525355277986524
805000,-27.003807243217334
810000,-27.932225540675123
815000,-30.047804723127612
820000,-33.8305097034871
825000,-31.959926851292007
830000,-28.869867309685144
835000,-27.104652347358353
840000,-34.73156554093382
845000,-35.77419231848997
850000,-28.80884358834882
855000,-27.07565668061356
860000,-33.44215945411573
865000,-36.45881353789976
870000,-40.207896705542346
875000,-29.471019838624823
880000,-33.37678098670355
885000,-33.69402670264128
890000,-34.51154600803171
895000,-30.907882406570536
900000,-32.73344533424892
905000,-31.410054787516913
910000,-31.662242717699396
915000,-35.512615025587316
920000,-37.505887955267106
925000,-28.47448169786627
930000,-30.50574835717552
935000,-27.587841609653186
940000,-25.861173832869838
945000,-48.80033997757147
950000,-32.43842147861173
955000,-35.29479096391489
960000,-31.07193084464103
965000,-26.501651130149032
970000,-35.20597747271096
975000,-36.012760865752064
980000,-48.814445123079544
985000,-33.43025913440011
990000,-33.533745590311156
995000,-29.510569831149592
1000000,-35.844599152924026
