step,avg_return
0,-50.4162438008797
5000,-54.26635714679418
10000,-50.266729984870686
15000,-49.579962383436026
20000,-52.21430335468799
25000,-57.699189423530015
30000,-54.80479472189429
35000,-44.6022232757083
40000,-44.443762731322884
45000,-55.56840355407869
50000,-41.89217038668914
55000,-40.847386619687974
60000,-37.44772829946888
65000,-39.448387978454726
70000,-29.665254877743205
75000,-37.78390389843992
80000,-38.24419232657096
85000,-36.825967293319245
90000,-38.41705505392264
95000,-34.13330396079453
100000,-31.268239037042566
105000,-36.125371093172596
110000,-41.09396033971427
115000,-35.71259111449257
120000,-34.14216779679086
125000,-39.13065429752388
130000,-31.536144328240173
135000,-33.775918265122904
140000,-38.50186930504692
145000,-36.57356029931257
150000,-34.692591934660925
155000,-37.53669159421451
160000,-37.627425917163215
165000,-34.018724234456094
170000,-37.85868245566992
175000,-31.237823227429676
180000,-31.29933873284351
185000,-32.0650753769626
190000,-39.55553649915154
195000,-33.652929574656994
200000,-35.64966932874872
205000,-30.335435373361904
210000,-37.02965481634348
215000,-37.86974112389249
220000,-31.043983630605634
225000,-36.58789747903484
230000,-32.4692528528723
235000,-35.658094169077366
240000,-34.25582049770558
245000,-35.43802351856208
250000,-34.2401991652597
255000,-37.033998151955196
260000,-33.643836780017786
265000,-38.44827615981621
270000,-31.38611663663222
275000,-30.920000427891736
280000,-32.356075887131404
285000,-31.560685888779815
290000,-30.56994136318052
295000,-34.6292698336865
300000,-27.442848720494425
305000,-37.612464660126555
310000,-34.66182730239495
315000,-29.398953366969593
320000,-42.5814304748039
325000,-32.63549839539862
330000,-37.06174804844979
335000,-33.18946672677214
340000,-32.94344150131233
345000,-27.982932207767377
350000,-26.164999354982225
355000,-31.436737622487456
360000,-36.55389869653903
365000,-32.30602912779408
370000,-33.655829670740566
375000,-33.493902993073085
380000,-34.1557696543804
385000,-32.25201330433896
390000,-42.569821869824594
395000,-27.866557256427246
400000,-31.017143594742638
405000,-29.637230480830137
410000,-29.44677644758605
415000,-30.39777688984002
420000,-27.976731932182343
425000,-32.1739689312056
430000,-34.285097284588176
435000,-34.25432230758367
440000,-29.369116450184904
445000,-28.615413014400232
450000,-33.58883290422534
455000,-35.264849285484615
460000,-31.75153855442677
465000,-30.38410620975709
470000,-30.102946965732254
475000,-26.589790277521583
480000,-25.05457068844477
485000,-36.19703576798988
490000,-29.130242459667727
495000,-24.769664680551205
500000,-24.879899320204714
505000,-31.41582441332726
510000,-25.050663928488067
515000,-26.121254585745405
520000,-28.19208106564132
525000,-31.71596783702581
530000,-32.58497453809756
535000,-26.451945639890482
540000,-30.344319252758165
545000,-28.03415511425776
550000,-34.17409733843548
555000,-28.29383328237348
560000,-29.20667792085004
565000,-27.061945273762394
570000,-37.3118583942163
575000,-27.26374608330868
580000,-34.87045066036922
585000,-25.771130616906685
590000,-30.8288069670436
595000,-36.52415634401905
600000,-30.202451980053237
605000,-25.821403125774932
610000,-25.98699063055327
615000,-27.09087812801717
620000,-28.13029855292439
625000,-33.52113742329531
630000,-29.648973547188138
635000,-31.749989968931413
640000,-24.919072502454892
645000,-26.91406577261027
650000,-26.157887960246864
655000,-30.262316553976376
660000,-26.6037625205408
665000,-32.29075882075998
670000,-29.242323364406776
675000,-26.79488545472834
680000,-28.81547698859694
685000,-28.87447094169705
690000,-25.78299151787442
695000,-34.381932212448646
700000,-31.724583404903097
705000,-25.054349601489875
710000,-27.83374881058627
715000,-27.443101705539092
720000,-27.850248092407877
725000,-27.68102079050142
730000,-26.826520369189026
735000,-30.116629115677203
740000,-27.175618131135867
745000,-35.595489099884624
750000,-24.824995691035323
755000,-30.92957955636416
760000,-25.896715133632483
765000,-28.909501012383927
770000,-27.20893938988684
775000,-31.726991703182208
780000,-31.706011219005166
785000,-33.95346321732429
790000,-25.395457143289587
795000,-34.94662180019441
800000,-22.749573997297063
805000,-23.895923749547876
810000,-29.27163604493789
815000,-24.176696790720644
820000,-23.737418643721053
825000,-27.03986367536018
830000,-23.725237380923193
835000,-26.57960065176469
840000,-32.47986193602248
845000,-32.94611025720613
850000,-26.901378177346242
855000,-25.619757216534982
860000,-28.92836188227867
865000,-30.105399631755517
870000,-36.493882019270494
875000,-28.2609626557188
880000,-29.4185082349113
885000,-26.925339677818073
890000,-27.412612873966037
895000,-25.390971684973948
900000,-25.898127941807417
905000,-32.81662717653242
910000,-31.914936531218046
915000,-26.49813339641425
920000,-27.914213192763018
925000,-27.38585329150145
930000,-35.76866075511043
935000,-26.27043436422635
940000,-24.890102876771692
945000,-34.91603666231393
950000,-30.69971953405978
955000,-28.74229038191946
960000,-26.892584242015573
965000,-25.68462184710529
970000,-24.746283605636535
975000,-34.51404314379834
980000,-31.47882917264596
985000,-31.080295004048708
990000,-31.225685579415643
995000,-21.429724957468093
1000000,-28.94436752102221
