step,avg_return
0,-23.522401052639385
4992,-21.36636394795563
9984,-23.63190286294073
14976,-20.452829548822475
19968,-23.36677603577691
24960,-22.948598276320524
29952,-25.62462115633949
34944,-23.582980825565205
39936,-26.375167640434558
44928,-28.92593572815471
49920,-26.643193962666118
54912,-20.087747292023746
59904,-21.145328564834088
64896,-30.35001779878524
69888,-18.989412008590836
74880,-19.322460704496162
79872,-19.46612118301971
84864,-18.994431995584012
89856,-14.596516210238233
94848,-18.876340774169858
99840,-17.57554482428363
104832,-16.05471131746855
109824,-16.972933119196643
114816,-19.738092674731053
119808,-17.068256157934936
124800,-15.271584006815177
129792,-17.55890246672549
134784,-19.378413273718085
139776,-20.622778220878768
144768,-14.064395086455283
149760,-15.162672019730058
154752,-18.061974398338112
159744,-16.853176044674004
164736,-19.66513972571298
169728,-15.269507003642792
174720,-16.58596730304249
179712,-19.26700033633685
184704,-18.99187947998274
189696,-17.140885958162293
194688,-16.325139860379053
199680,-17.091098005191004
204672,-15.465065335020531
209664,-12.16901181790651
214656,-12.18928204437505
219648,-9.880614360817233
224640,-11.526745112380384
229632,-14.563815908048989
234624,-11.85849735709975
239616,-14.020011467976763
244608,-11.788630897439935
249600,-12.76892781105154
254592,-13.197446609392571
259584,-13.076481239263734
264576,-12.919057776865637
269568,-11.402797127188661
274560,-11.382953611240913
279552,-8.289660415646187
284544,-11.516234760981378
289536,-11.95076414925836
294528,-10.383783499137055
299520,-11.79898637716842
304512,-13.273543960463241
309504,-7.998492042552182
314496,-11.077375013880564
319488,-11.565962197038987
324480,-10.46384901145184
329472,-8.310399918799641
334464,-10.89121897254045
339456,-7.776127629247514
344448,-10.697698793742996
349440,-10.064864755295174
354432,-10.026971873953997
359424,-10.842306461333395
364416,-9.37839814695575
369408,-11.515730957366083
374400,-9.392126608272738
379392,-7.923244057592311
384384,-11.32307228391168
389376,-7.123240055022279
394368,-10.922632545679539
399360,-7.537627832854604
404352,-13.706264763138519
409344,-9.01290876448322
414336,-10.167352106270721
419328,-10.293509546513341
424320,-9.496310004454172
429312,-9.559779977875632
434304,-10.194804684666371
439296,-8.472783292188007
444288,-9.27199290242366
449280,-11.575552095676883
454272,-10.063666483889788
459264,-9.359004104984436
464256,-11.338642962762625
469248,-9.343717591176192
474240,-9.89441354155401
479232,-9.06937736343812
484224,-6.792117100050068
489216,-8.40356298694334
494208,-7.2991855512124575
499200,-6.051608258837699
504192,-9.748043656211085
509184,-9.471828019538686
514176,-9.085728243673016
519168,-6.807826709296935
524160,-10.012627585512506
529152,-7.05355522741053
534144,-9.657965206379393
539136,-8.247054031900477
544128,-4.680490152654078
549120,-5.870228521233437
554112,-5.144968064773608
559104,-10.137198233251683
564096,-12.191122181369098
569088,-11.391010016816594
574080,-10.976774540970922
579072,-8.851187815052716
584064,-5.920872439970604
589056,-8.81304413085295
594048,-10.21743610789465
599040,-6.274698006935998
604032,-9.125702066752014
609024,-7.516255988519695
614016,-6.382378888508026
619008,-9.522534665533405
624000,-10.270996711135089
628992,-8.056198825030437
633984,-12.060176579198396
638976,-6.635257559128018
643968,-11.24799467001702
648960,-12.541233346713355
653952,-7.1589238325235565
658944,-10.761178311210946
663936,-11.735421700709367
668928,-8.76665097649102
673920,-9.711250111704336
678912,-11.878909835003654
683904,-8.59395964041497
688896,-11.557563718853324
693888,-6.023083985941004
698880,-8.646178965408994
703872,-10.958023229961567
708864,-7.69718875996475
713856,-6.962321546553948
718848,-6.36317308807842
723840,-7.954976126376898
728832,-8.394296340233964
733824,-9.977951409336299
738816,-6.624870929086565
743808,-10.704421867423541
748800,-8.737965230252486
753792,-8.255065838227695
758784,-7.867361132568997
763776,-7.4928771204405535
768768,-8.712350111718605
773760,-9.269996661395552
778752,-8.715330104395251
783744,-9.47236159718875
788736,-10.542020472501074
793728,-8.888807888443372
798720,-7.107144802920394
803712,-10.247650364972662
808704,-8.421290638311099
813696,-9.928797951502041
818688,-4.941068502902906
823680,-7.824697795334628
828672,-7.019203570809979
833664,-6.824979842764812
838656,-9.141711804555209
843648,-7.001460704930159
848640,-6.982091257155546
853632,-6.17576772025717
858624,-8.454946647282757
863616,-8.61043301441952
868608,-5.8596576887040674
873600,-7.187535612522654
878592,-7.758833021975698
883584,-8.46833646860128
888576,-6.455431465165283
893568,-8.648337407069105
898560,-8.312704905691115
903552,-7.435033071282244
908544,-9.810230345715922
913536,-5.215006333307174
918528,-10.678056322199135
923520,-5.799177088313258
928512,-7.18910325120418
933504,-4.972161534804443
938496,-4.611021870120629
943488,-7.59641494087199
948480,-9.014749588008732
953472,-7.691459801150572
958464,-6.302760585050603
963456,-9.464473498868669
968448,-5.967550907383358
973440,-8.957880945376793
978432,-9.008977888503145
983424,-5.792054899309672
988416,-8.654634164456908
993408,-6.287694701861477
998400,-7.20233804638332
