step,avg_return
0,-24.799627690792136
4992,-20.769859212046814
9984,-24.353937276910685
14976,-23.435414865585887
19968,-22.170814067382583
24960,-23.420823839466134
29952,-24.332472649931578
34944,-24.804552406838706
39936,-25.44843791656383
44928,-28.527893776863525
49920,-24.734209176662585
54912,-26.31035765167864
59904,-25.87885192337457
64896,-24.841905692066206
69888,-23.749500805904404
74880,-22.691497165362005
79872,-19.58779062424159
84864,-21.992335120345
89856,-25.21570142573358
94848,-23.059264755980212
99840,-26.842773351425233
104832,-19.34092335888845
109824,-21.615240423989462
114816,-24.67113024674752
119808,-20.937296260971706
124800,-23.542516556502093
129792,-23.08822680374192
134784,-22.79316929766536
139776,-23.388297366368878
144768,-23.289964265628797
149760,-22.12957874744741
154752,-26.5859604918804
159744,-24.150676085947453
164736,-26.893595551946188
169728,-22.293712764367683
174720,-22.832418485946615
179712,-19.986457410962714
184704,-18.076608757385184
189696,-23.30981906398435
194688,-24.281361633102716
199680,-23.688945629496754
204672,-22.052620923443005
209664,-19.644914658506536
214656,-23.23222841686355
219648,-24.634409136858636
224640,-21.782438951328675
229632,-25.21810667541403
234624,-19.076624576773025
239616,-24.380551620752343
244608,-18.416940492282677
249600,-22.7679024100806
254592,-21.67775212238809
259584,-22.374494188692598
264576,-24.971015630437744
269568,-22.87154088126177
274560,-23.489678749838816
279552,-20.45729777479917
284544,-21.501418558623033
289536,-21.40767634630666
294528,-26.09184391097011
299520,-25.85247760654312
304512,-21.961482930115846
309504,-20.74240460526519
314496,-21.83692371195418
319488,-22.434310433381963
324480,-21.435082762556004
329472,-25.01505290281587
334464,-23.88821543267565
339456,-20.224033103118675
344448,-26.120971801366093
349440,-19.370743914212536
354432,-19.238943276664926
359424,-23.644555507853422
364416,-23.257811507561296
369408,-18.27379423188766
374400,-21.14735141008397
379392,-20.937983285425798
384384,-24.599623128466078
389376,-20.154307442778926
394368,-23.040180011398537
399360,-21.37689061218614
404352,-21.049778020830868
409344,-19.705071675486845
414336,-23.62560925994769
419328,-23.82032067213142
424320,-19.07194500320386
429312,-18.678728775309867
434304,-19.266761584206634
439296,-20.108443921419806
444288,-23.47155582163396
449280,-18.09242718924041
454272,-17.99831784466903
459264,-20.115604661861607
464256,-24.272353097680508
469248,-19.203730593427924
474240,-23.30371393777028
479232,-21.753394811404576
484224,-21.74013516233215
489216,-23.0935641230422
494208,-21.962079745837258
499200,-21.376290962355757
504192,-19.761250140185926
509184,-21.160186839343982
514176,-20.304179883182687
519168,-24.24889264709387
524160,-19.70081971287779
529152,-26.349463517611753
534144,-21.446984704103823
539136,-17.077164049618602
544128,-20.116285213783772
549120,-22.13742048068435
554112,-25.039892617348073
559104,-21.921623737740347
564096,-22.493434549650146
569088,-22.544573017979946
574080,-19.36378335922181
579072,-22.381444857464604
584064,-20.70793422416141
589056,-23.09474844665287
594048,-21.18551999540732
599040,-19.198503241540823
604032,-21.731664976749467
609024,-20.464512901982587
614016,-16.758178088183325
619008,-19.726595729698975
624000,-22.46823508388157
628992,-18.21594056005134
633984,-22.401340722225992
638976,-19.630280316497537
643968,-21.83364943991972
648960,-24.75915981211257
653952,-19.497113936130166
658944,-21.014287367619414
663936,-20.480590666118207
668928,-16.88267998167043
673920,-20.297860897379092
678912,-24.047457929195943
683904,-20.774650135023652
688896,-18.008261102613094
693888,-20.844695774397973
698880,-21.21773509147769
703872,-19.954047053393186
708864,-19.865735911059346
713856,-23.148290829781093
718848,-20.060371020601362
723840,-23.61453504359683
728832,-23.5278458891452
733824,-21.47953075463039
738816,-17.13174040771475
743808,-21.741665818483796
748800,-19.89546703218721
753792,-19.563122908071833
758784,-23.100938283633507
763776,-19.60911966170832
768768,-20.939760265125848
773760,-20.2226704890389
778752,-20.971169849051062
783744,-19.997612677087464
788736,-17.687528384378243
793728,-19.174703149371997
798720,-20.19006523958079
803712,-22.85661831968544
808704,-20.49858090264459
813696,-18.932325859244703
818688,-17.585366863892574
823680,-17.70684802216583
828672,-19.81481564556493
833664,-18.814257536967673
838656,-22.227362077185116
843648,-17.206914425401372
848640,-18.582193981615493
853632,-19.321198234005966
858624,-22.153774175358624
863616,-22.950609813262773
868608,-21.260245424548604
873600,-18.141331445112705
878592,-21.048439482574533
883584,-20.880302682324558
888576,-20.788109470389486
893568,-21.468086885574
898560,-22.274366555125564
903552,-20.935713905623206
908544,-15.794352730048425
913536,-22.61297736112765
918528,-18.768440509149414
923520,-20.4957405435236
928512,-18.4423752909209
933504,-22.826722064012177
938496,-22.6876326333911
943488,-17.12785340025631
948480,-16.82234509423999
953472,-16.693647231023082
958464,-20.82975255055982
963456,-20.116024050869363
968448,-19.37075112431701
973440,-15.497155348079067
978432,-20.203063475811888
983424,-17.806152856768506
988416,-18.115426495914228
993408,-20.03463384206829
998400,-17.844394558034068
