step,avg_return
0,-22.360641900619317
4992,-24.627983234399796
9984,-22.808657041540215
14976,-19.722572584899694
19968,-19.639954348176754
24960,-18.20203371698918
29952,-16.53062062084602
34944,-16.232819286304633
39936,-15.32045053497834
44928,-14.728191306555637
49920,-13.314121288821047
54912,-10.915042940861111
59904,-8.230950113733048
64896,-11.749940640523967
69888,-10.041291161962308
74880,-8.226956319153338
79872,-7.2975866426080644
84864,-10.998796422483084
89856,-9.29087595520821
94848,-11.974167491550096
99840,-9.506531374026165
104832,-8.09925934688737
109824,-9.586109884134387
114816,-6.73084598653912
119808,-9.392128641090855
124800,-9.631792745512106
129792,-7.95737302687751
134784,-9.66176942398855
139776,-5.698191901689845
144768,-8.685027641238722
149760,-9.148267677689281
154752,-9.732437520410864
159744,-9.784645803920915
164736,-8.955057877681252
169728,-6.857853869053756
174720,-6.989084328438313
179712,-8.407652565278086
184704,-6.415109546611994
189696,-6.566873317081626
194688,-8.640359370769149
199680,-5.4179094466743125
204672,-9.580245696689028
209664,-7.045288682819873
214656,-5.558586771120349
219648,-6.162886412206955
224640,-4.378306641624795
229632,-5.276176062294174
234624,-4.168270612915786
239616,-8.687249583286677
244608,-4.62430246548367
249600,-7.270360762768587
254592,-3.626485846551658
259584,-6.446585059923663
264576,-4.391346474494498
269568,-8.125454024502325
274560,-6.18339762946406
279552,-5.67861005621537
284544,-4.191231590136888
289536,-4.968920821786042
294528,-7.039945981531811
299520,-8.25951208252745
304512,-5.900102926318097
309504,-3.9485899453383477
314496,-5.418204410808799
319488,-4.933656307358333
324480,-6.222552304752814
329472,-6.15441465161238
334464,-6.534496315339992
339456,-3.8774312816562087
344448,-7.136528241831503
349440,-2.6920876236736055
354432,-3.194756461643451
359424,-7.383262020081042
364416,-4.6501090089308095
369408,-4.0159449424820215
374400,-5.710289663810354
379392,-4.451230170813321
384384,-5.0780755552365155
389376,-4.4901977858179665
394368,-4.226992932860339
399360,-5.538773912219409
404352,-2.8707310874275254
409344,-4.761602431236567
414336,-4.523302070347169
419328,-9.331680677695752
424320,-3.7225625213581677
429312,-4.423443448359252
434304,-5.482340153849858
439296,-3.3549409763651017
444288,-6.108148129611799
449280,-3.3640937661009898
454272,-4.383803920603409
459264,-4.3781498622712105
464256,-5.168838550747256
469248,-5.120056635912364
474240,-4.2315717728196205
479232,-6.250336283411748
484224,-3.487520215706421
489216,-4.394921791608579
494208,-3.1367271312234783
499200,-3.6787261934753186
504192,-5.959580673822469
509184,-4.015094369013056
514176,-3.818328317166691
519168,-5.452880995361539
524160,-2.7923806476601656
529152,-2.8760608073950187
534144,-4.683787782879558
539136,-3.761614486103122
544128,-2.8083037128877293
549120,-4.863576524672754
554112,-2.954773638174157
559104,-2.980953196096969
564096,-6.365141309153077
569088,-5.073147444714295
574080,-4.915445886262862
579072,-8.969370914088627
584064,-3.938206074555382
589056,-3.7916966162523527
594048,-5.628483133989888
599040,-2.853271175455722
604032,-7.447605454859112
609024,-4.484319981948718
614016,-2.8688965724252036
619008,-6.901424833717852
624000,-3.7288159212941974
628992,-4.029990161550212
633984,-4.773140698990626
638976,-6.07216067005811
643968,-4.37333553100278
648960,-3.8195902038760425
653952,-4.572325778937219
658944,-5.143467329724928
663936,-5.022816670853381
668928,-5.296178936846239
673920,-6.082283402946653
678912,-4.9866513685348375
683904,-6.7256214450570875
688896,-5.448276752988511
693888,-5.0034813138223795
698880,-2.441343877231631
703872,-3.6009009368051963
708864,-3.30952861728494
713856,-2.893456071084651
718848,-3.26671565881286
723840,-3.884304570669766
728832,-6.772634038272407
733824,-8.438487806557674
738816,-2.688077409626844
743808,-6.029043979501736
748800,-4.362536340853847
753792,-5.942258050431889
758784,-6.964033043606059
763776,-3.0011151752308574
768768,-4.082735686489429
773760,-4.635894209919755
778752,-6.987303258858778
783744,-4.889181271001962
788736,-3.6132258247674485
793728,-4.632122709408054
798720,-3.121783136409146
803712,-3.5597516306613746
808704,-6.394202791903588
813696,-3.813470898907669
818688,-2.446634260632743
823680,-5.562436688946735
828672,-3.0251019329673934
833664,-3.7366248611684028
838656,-5.33682835566204
843648,-3.8760515541010787
848640,-2.8787369085109202
853632,-5.3211849301762895
858624,-3.8582576661381665
863616,-5.048034109442728
868608,-2.7126348850347615
873600,-5.637757506791004
878592,-4.8433968084795005
883584,-3.4997115062123663
888576,-2.7035877210994967
893568,-6.187542073977532
898560,-5.261058483108172
903552,-4.400886728275092
908544,-3.9583639363705436
913536,-4.723730555126088
918528,-6.23991916563642
923520,-4.2532766081756685
928512,-3.811536112176444
933504,-4.138822805906626
938496,-5.606682006301187
943488,-2.4884813386101228
948480,-3.5384927695727235
953472,-3.5947094349645585
958464,-4.758004649312608
963456,-6.355161048351678
968448,-4.256163439290638
973440,-4.330052790473659
978432,-4.589092719909902
983424,-3.730595560023231
988416,-7.085642618932244
993408,-4.337971202967538
998400,-5.224986819301645
